id,name,type,owner,first_use,uses,deliverable,gate,status,unit
AUD-CITY-STRAIN,City Strain,Audio,Sound designer,C03-S06,C03-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-CUSTODIAN-BREATH,Custodian Breath,Audio,Sound designer,C04-S02,C04-S02,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-ESCAPE,Escape,Audio,Sound designer,C08-S04,C08-S04,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-FOOTSTEPS-OVERHEAD,Footsteps Overhead,Audio,Sound designer,C01-S05,C01-S05,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-HOLD-MOTOR,Hold Motor,Audio,Sound designer,C01-S03,C01-S03,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-HOME,Home,Audio,Sound designer,C01-S01,C01-S01,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-HOUSE-BELL,House Bell,Audio,Sound designer,C03-S01,C03-S01,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-LOAD-SETTLE,Load Settle,Audio,Sound designer,C02-S05,C02-S05,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-MACHINE-BODY-LINK,Machine Body Link,Audio,Sound designer,C04-S06,C04-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-NETWORK-THIN,Network Thin,Audio,Sound designer,C07-S04,C07-S04,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-ORDINARY-HINGE,Ordinary Hinge,Audio,Sound designer,C08-S05,C08-S05,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-OUTLET,Outlet,Audio,Sound designer,C06-S03,C06-S03,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-PAWL,Pawl,Audio,Sound designer,C03-S04,C03-S04,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-PORCELAIN-CHIP,Porcelain Chip,Audio,Sound designer,C02-S06,C02-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-POST-JUNCTION,Post Junction,Audio,Sound designer,C07-S06,C07-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-PRESSURE-PULSE,Pressure Pulse,Audio,Sound designer,C05-S06,C05-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-RACK-ROLL,Rack Roll,Audio,Sound designer,C02-S04,C02-S04,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-RIG-BREATH,Rig Breath,Audio,Sound designer,C04-S04,C04-S04,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-ROOT-STRAIN,Root Strain,Audio,Sound designer,C08-S01,C08-S01,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-ROOT-UNLOAD,Root Unload,Audio,Sound designer,C08-S03,C08-S03,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-TRAM-SETTLE,Tram Settle,Audio,Sound designer,C04-S05,C04-S05,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-TWO-RELIEFS,Two Reliefs,Audio,Sound designer,C05-S03,C05-S03,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-UNSYNCED-STEPS,Unsynced Steps,Audio,Sound designer,C08-S06,C08-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-WATER-DRIP,Water Drip,Audio,Sound designer,C02-S01,C02-S01,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-WATER-HELD,Water Held,Audio,Sound designer,C06-S01,C06-S01,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
CAM-CITY-WIDE,City Wide,Camera/cinematic,Level designer + animator,C03-S06,C03-S06,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-DEPENDENCY-VIEW,Dependency View,Camera/cinematic,Level designer + animator,C07-S02,C07-S02,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-DEPTH-REVEAL,Depth Reveal,Camera/cinematic,Level designer + animator,C03-S05,C03-S05,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-DETAIL,Detail,Camera/cinematic,Level designer + animator,C02-S06,C02-S06,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-EVAC-OVERVIEW,Evac Overview,Camera/cinematic,Level designer + animator,C06-S06,C06-S06,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-FLOOD-REVEAL,Flood Reveal,Camera/cinematic,Level designer + animator,C06-S01,C06-S01,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-HAND-TWO-SHOT,Hand Two Shot,Camera/cinematic,Level designer + animator,C08-S02,C08-S02,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-HOME,Home,Camera/cinematic,Level designer + animator,C01-S01,C01-S01,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-NARROW-APPROACH,Narrow Approach,Camera/cinematic,Level designer + animator,C07-S06,C07-S06,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-NETWORK-ENTRY,Network Entry,Camera/cinematic,Level designer + animator,C07-S01,C07-S01,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-NODE-TRAVEL,Node Travel,Camera/cinematic,Level designer + animator,C06-S02,C06-S02,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-PUZZLE,Puzzle,Camera/cinematic,Level designer + animator,C01-S03,C01-S03,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-RETURN-BODY,Return Body,Camera/cinematic,Level designer + animator,C07-S05,C07-S05,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-ROOT-REVEAL,Root Reveal,Camera/cinematic,Level designer + animator,C05-S04,C05-S04,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CAM-WIDE-PUZZLE,Wide Puzzle,Camera/cinematic,Level designer + animator,C02-S03,C02-S03,"Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage.",M11/M13,Not started,Work package / family
CHR-ANJA,Anja,Character,Character artist + animator,C01-S01,C01-S01,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-ANJA-HAND,Anja Hand,Character,Character artist + animator,C08-S02,C08-S02,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-ANJA-INTEGRATED,Anja Integrated,Character,Character artist + animator,C05-S04,C05-S04,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-BEARER,Bearer,Character,Character artist + animator,C04-S06,C04-S06,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-BEARER-VARIANTS,Bearer Variants,Character,Character artist + animator,C05-S01,C05-S01,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-BEARER-WOMAN,Bearer Woman,Character,Character artist + animator,C05-S02,C05-S02,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-CUSTODIAN-COVERED,Custodian Covered,Character,Character artist + animator,C01-S06,C01-S06,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-CUSTODIAN-EXPOSED,Custodian Exposed,Character,Character artist + animator,C04-S01,C04-S01,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-IVO,Ivo,Character,Character artist + animator,C01-S01,C01-S01,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-ORREN,Orren,Character,Character artist + animator,C03-S04,C03-S04; C05-S01; C07-S04; C08-S05,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-PORTER,Porter,Character,Character artist + animator,C04-S04,C04-S04,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-SURVIVOR-COHORT,Survivor Cohort,Character,Character artist + animator,C06-S06,C06-S06,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
CHR-SURVIVOR-DISTANT,Survivor Distant,Character,Character artist + animator,C07-S06,C07-S06,Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate.,M11/M13,Not started,Work package / family
ENV-ANCHOR-BACK,Anchor Back,Hero environment,Environment artist + technical artist,C04-S06,C04-S06; C05-S01,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-BREATHING-SUPPORTS,Breathing Supports,Hero environment,Environment artist + technical artist,C06-S05,C06-S05,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-CENTRAL-JUNCTION,Central Junction,Hero environment,Environment artist + technical artist,C07-S01,C07-S01,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-CONCRETE-DEFLECTOR,Concrete Deflector,Hero environment,Environment artist + technical artist,C06-S04,C06-S04,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-EMBANKMENT,Embankment,Hero environment,Environment artist + technical artist,C08-S06,C08-S06,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-INLAND-FOOTWAY,Inland Footway,Hero environment,Environment artist + technical artist,C06-S06,C06-S06,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-REPLACEMENT-CRADLE,Replacement Cradle,Hero environment,Environment artist + technical artist,C05-S05,C05-S05,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-ROOT-PROXY,Root Proxy,Hero environment,Environment artist + technical artist,C05-S04,C05-S04,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-SEA-DISTANT,Sea Distant,Hero environment,Environment artist + technical artist,C06-S01,C06-S01,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-SUSPENDED-SURGE,Suspended Surge,Hero environment,Environment artist + technical artist,C06-S01,C06-S01,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-TRAM-HERO,Tram Hero,Hero environment,Environment artist + technical artist,C04-S05,C04-S05,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-TRAM-RETURN-PROXY,Tram Return Proxy,Hero environment,Environment artist + technical artist,C07-S03,C07-S03,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
ENV-WALL-DEPRESS,Wall Depress,Hero environment,Environment artist + technical artist,C03-S01,C03-S01,"Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects.",M12/M13,Not started,Work package / family
KIT-DOMESTIC,Domestic,Environment kit,Environment artist,C01-S01,C01-S01,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-DOMESTIC-BACK,Domestic Back,Environment kit,Environment artist,C03-S01,C03-S01,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-ESCAPE-SETTLE,Escape Settle,Environment kit,Environment artist,C08-S04,C08-S04,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-HYDRAULIC,Hydraulic,Environment kit,Environment artist,C05-S06,C05-S06,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-LAUNDRY,Laundry,Environment kit,Environment artist,C02-S01,C02-S01,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-ROOT-STONE,Root Stone,Environment kit,Environment artist,C07-S06,C07-S06,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-SERVICE,Service,Environment kit,Environment artist,C01-S04,C01-S04; C01-S05,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-TENEMENT-EXTERIOR,Tenement Exterior,Environment kit,Environment artist,C03-S06,C03-S06,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
KIT-TRAM,Tram,Environment kit,Environment artist,C04-S01,C04-S01,"Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room.",M07/M13,Not started,Work package / family
PROP-ACCESS-LADDER,Access Ladder,Prop,Environment artist,C06-S06,C06-S06,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-BASKET,Basket,Prop,Environment artist,C02-S01,C02-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-BYPASS-LEVER,Bypass Lever,Prop,Environment artist,C05-S05,C05-S05,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-CHAIR,Chair,Prop,Environment artist,C01-S01,C01-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-CRANK,Crank,Prop,Environment artist,C02-S03,C02-S03,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-CUP,Cup,Prop,Environment artist,C01-S01,C01-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-FINAL-LINKAGES,Final Linkages,Prop,Environment artist,C08-S01,C08-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-HAND-REVEAL,Hand Reveal,Prop,Environment artist,C02-S06,C02-S06,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-HEIGHT-MARKS,Height Marks,Prop,Environment artist,C03-S05,C03-S05,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-HOLD-SIGN,Hold Sign,Prop,Environment artist,C03-S06,C03-S06,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-INNER-LATCH,Inner Latch,Prop,Environment artist,C03-S05,C03-S05,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-INSPECTION-BOOTH,Inspection Booth,Prop,Environment artist,C04-S01,C04-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-LUGGAGE-FRAME,Luggage Frame,Prop,Environment artist,C04-S04,C04-S04,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-LUNCH-TIN,Lunch Tin,Prop,Environment artist,C03-S01,C03-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-PLATES,Plates,Prop,Environment artist,C03-S03,C03-S03,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-RAIL-CABINET,Rail Cabinet,Prop,Environment artist,C03-S03,C03-S03,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-RELIEF-SCHEMATIC,Relief Schematic,Prop,Environment artist,C05-S06,C05-S06,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-SHEET-VARIANTS,Sheet Variants,Prop,Environment artist,C02-S04,C02-S04,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-SIDE-LATCH,Side Latch,Prop,Environment artist,C04-S02,C04-S02,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-TERMINAL-COVERS,Terminal Covers,Prop,Environment artist,C01-S05,C01-S05,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-TIDE-MARK,Tide Mark,Prop,Environment artist,C06-S01,C06-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-TIED-COAT,Tied Coat,Prop,Environment artist,C02-S01,C02-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-TOOLS,Tools,Prop,Environment artist,C01-S04,C01-S04,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-TRANSPORT-RIG,Transport Rig,Prop,Environment artist,C01-S02,C01-S02,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-TRAY,Tray,Prop,Environment artist,C01-S03,C01-S03,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PROP-VENT-FLAP,Vent Flap,Prop,Environment artist,C05-S01,C05-S01,Readable silhouette; correct pivot/material/collision; story or interaction state where specified.,M11/M13,Not started,Work package / family
PUZ-ACCESS-PLATFORM,Access Platform,Puzzle mechanism,Designer + gameplay engineer + artist,C05-S02,C05-S02,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-ANCHOR,Anchor,Puzzle mechanism,Designer + gameplay engineer + artist,C02-S02,C02-S02; C02-S03,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-BYPASS-SADDLE,Bypass Saddle,Puzzle mechanism,Designer + gameplay engineer + artist,C06-S05,C06-S05,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-CANOPY,Canopy,Puzzle mechanism,Designer + gameplay engineer + artist,C07-S02,C07-S02,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-CARRIAGE,Carriage,Puzzle mechanism,Designer + gameplay engineer + artist,C05-S05,C05-S05,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-CONDUIT-HINGE,Conduit Hinge,Puzzle mechanism,Designer + gameplay engineer + artist,C03-S02,C03-S02,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-COUNTERWEIGHT-RACK,Counterweight Rack,Puzzle mechanism,Designer + gameplay engineer + artist,C06-S03,C06-S03,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-COUPLED-HATCH,Coupled Hatch,Puzzle mechanism,Designer + gameplay engineer + artist,C03-S05,C03-S05,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
PUZ-DISCHARGE-BARRIER,Discharge Barrier,Puzzle mechanism,Designer + gameplay engineer + artist,C06-S03,C06-S03,"Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture.",M03/M12,Not started,Work package / family
