id,chapter,title,minutes,kind,space,entry,action,threat,exit,checkpoint,assets,test,campaign_start_min,campaign_end_min
C02-S05,2,The room behind the room,4,P07 support foreshadow,18 m maintenance gap; pressure roller and sliding service brace,"A roller presses against a warped hatch. Ivo can Hold it, but releasing closes the route. A red-brown steel service prop sits on an adjacent short rail; its head matches a notch under the roller support.","Hold and transfer the roller into a free anchor, move the service prop into its obvious receiving notch, then deliberately take back and release the load. The support catches it with a dull mechanical click. The passage remains open without a taut porcelain vane.","The first unsupported release closes the hatch slowly and can be reversed. This is a safe rehearsal of later bearer relief, not a premature full explanation.",A long exhale follows. A hand-shaped indentation behind the wall softens. The ordinary support has done something the player will later understand as mercy.,CP-C02-08 after prop engagement. Preserve Supported separately from HeldAnchor.,PUZ-ROLLER; PUZ-SUPPORT-PROP; SYS-SUPPORT; ANIM-PUSH; AUD-LOAD-SETTLE,"Support is accepted only in its physical socket, but tolerance is generous. No wedging tiny unrelated props beneath the roller is required or rewarded.",37,41
C02-S06,2,Under the porcelain,4,Revelation / exit traversal,24 m cracked service passage with one optional observation recess,"A chipped hand fitting obstructs a narrow passage. Its porcelain casing has lifted enough to catch Ivo’s sleeve. The camera moves closer, without rotating away from the lane.","Interact once to free the sleeve and remove a loose fragment. Beneath it is a real fingernail. The finger subtly presses back against the fitting. Continue through the passage; the player can pause near it, but there is no collectible zoom view.",The horror is recognition. No attack or loud sting follows the fingernail. Nearby machinery resumes its ordinary rhythm as though nothing has happened.,The passage emerges behind apartment walls. A familiar domestic wallpaper pattern replaces industrial tile. The next chapter begins without a load screen.,CP-C02-09 after the fragment falls. The fragment and sleeve state cannot reset independently.,PROP-HAND-REVEAL; ANIM-SLEEVE-SNAG; ANIM-FINGER-RESPONSE; AUD-PORCELAIN-CHIP; CAM-DETAIL,"At least 4/5 testers identify a human finger rather than a mechanical imitation. Test silhouette, caption alternatives and reduced-detail graphics.",41,45
C03-S01,3,At the back of a kitchen,4,Environmental exploration,36 m wall cavity; two window openings into domestic rooms,Ivo moves behind a kitchen where three places are set. The visible room looks ordinary until a shoulder-shaped depression pulses through the wallpaper in time with a floor support.,"Crawl below a bath, lift a light access flap and use a short step to view the kitchen from behind. There is no mandatory searchable document. A disconnected lunch tin and worn shoes belong to the person supporting the room.","A household bell rings, followed by silence from the occupied space. Nobody attacks. The layout leaves room for observation before the next logic problem.",The player recognizes that concealment is domestic and routine. A broken conductive handrail leads to the next obstruction.,CP-C03-01 at wall-cavity exit.,KIT-DOMESTIC-BACK; PROP-LUNCH-TIN; ENV-WALL-DEPRESS; AUD-HOUSE-BELL,Do not obscure the actual forward route behind the optional kitchen view. The bodily outline must remain subtle but readable.,45,49
C03-S02,3,Reach through a wall,5,P08 conduit connectivity,22 m split room; remote hatch visible through a broken partition,The exit hatch contact is beyond portable acquisition range. A ceramic handrail ends at a missing section. A matching conductive rail segment hangs on a maintenance hinge nearby.,"Rotate the hinged segment into alignment using Interact, closing a visible circuit. Hold at the near contact and watch the remote hatch stop. Walk through the short rail-connected lane before disconnecting at the far end. The branch display shows the single addressed endpoint; decorative pipes remain dark and inert.",No enemy. The hatch first demonstrates its cycle behind a safe grille. A failed connection refuses acquisition without changing existing ownership.,The environment is now a connected network rather than isolated rooms. Tiny finger movements travel down two fittings as the signal passes.,CP-C03-02 after rail connection; CP-C03-03 through hatch.,PUZ-CONDUIT-HINGE; SYS-CONDUIT-GRAPH; PUZ-REMOTE-HATCH; VFX-CONTACT-TENSION,"A graph disconnect, scene reload or candidate change cannot produce a remote Hold without a valid path. Color blindness cannot conceal the connection state.",49,54
C03-S03,3,The tilted dining room,6,P09 geometry / changing support,28 m domestic cross-section; hinged floor and a counterweight cabinet,"A dining-room floor tilts around a central hinge. A cabinet is secured on a rail that changes the floor’s balance. A bearer behind the wall is hidden, but the floor contact and cabinet brake are visible.","Hold the floor near level from a wall contact, transfer into the local anchor, then move the cabinet to its marked rail stop. Take back the floor load and release; the shifted balance lowers the far end onto an existing masonry seat. The supported floor becomes a ramp to a high doorway. The table and plates settle rather than flying as random physics projectiles.",A fall lands on a safe lower cavity. A descending floor edge is lethal only in a plainly visible pinch zone. Incidental crockery has no puzzle authority.,The same room changes from protected domestic space into a traversable structure. A hidden bearer’s breathing becomes less strained when the masonry takes the load.,CP-C03-04 after cabinet placement; CP-C03-05 after support contact.,PUZ-HINGED-FLOOR; PROP-RAIL-CABINET; SYS-GRAVITY-PROCESS; PROP-PLATES,Cabinet placement and floor contact must be reproducible at all frame rates. Save during settling resumes to the same supported or unsupported state.,54,60
C03-S04,3,The staircase and Orren,5,P10 first explicit relief,"24 m stairwell; 4 m folding stair, accessible ratchet and bearer recess","A folding stair hangs too steeply to climb. Behind its lower wall, an old man’s back mirrors its angle. His hand occupies the existing fitting; Ivo can take the load through the accessible service contact.","Take over the staircase Hold, let it descend gradually, and recapture it near 35 degrees. Pull the one-handed ratchet lever while maintaining Hold. The pawl visibly engages a broad tooth. Release. The stairs remain stable, and the old man—Orren—slowly uncurls his fingers. Climb only after he has moved clear of the footplate.","Premature release without the ratchet returns the stair to a shallow catch, allowing retry. Do not kill Orren for an early learning error. His final release is an authored Supported condition, not a raw collision guess.","Orren looks at Ivo, then at his own hand. He retreats toward a side refuge. The missing coat button and bent shoe establish a recognition motif.",CP-C03-06 once the ratchet engages; CP-C03-07 after Orren clears the stair. Rescue flag and NPC safe pose commit together.,PUZ-STAIR-RATCHET; CHR-ORREN; ANIM-BEARER-RELIEF; AUD-PAWL; NAR-ORREN-FREED,Narrative test: players can explain that a physical support replaced human effort. Technical test: Orren can never block the mandatory staircase.,60,65
C03-S05,3,The outside of the bedroom,6,P11 coupled path / local detour,40 m connected cavities; 5 m optional bedroom recess,A bedroom’s bedframe is bolted to a structural cable. Opening one wall hatch tightens a neighboring floor support and closes the route behind Ivo. Both mechanisms can be seen through staggered wall openings.,"Use the conduit contact to Hold the hatch open, pass into the intermediate alcove, then engage a physical latch from its inner side. Release and use the freed personal Hold on the second support while crossing. The logic is a reversible two-step airlock with a stable middle refuge, not a hidden sequence of switches. In the recess, a child’s height marks continue across a replaced wallpaper patch covering an anchor.",A Custodian moves in the inhabited background but does not enter the cavity. Door sounds build pressure without an actual timer.,The route reconnects above the passenger interchange. Ivo’s shoulder now briefly matches the angular support he has just held.,CP-C03-08 in the middle refuge; CP-C03-09 above interchange.,PUZ-COUPLED-HATCH; PROP-INNER-LATCH; PROP-HEIGHT-MARKS; CAM-DEPTH-REVEAL,The central refuge remains safe in every reachable state. Backtracking before the inner latch cannot trap Ivo behind the first hatch.,65,71
C03-S06,3,A line that leads down,4,Transition / central route reveal,45 m exterior service balcony descending to tram entrance,"For the first time, Ivo sees several tenements together. Their straight facades lean in mutually dependent directions. White ceramic seams join them like a second set of streets.","Descend a ladder, cross a short sheltered balcony and enter the tram service door. Anja’s transport passes far below at one timed crossing, triggered only when Ivo can see it. A maintenance sign uses a hand pictogram and the phrase HOLD UNTIL RELIEVED.","Rain and a distant structural groan replace music. One small falling tile passes behind, not onto, the player. Do not add a surprise death to this observation beat.",The transport destination becomes a physical objective. The city-scale network is foreshadowed without revealing the flood.,CP-C03-10 inside the passenger hall. Persist TransportGlimpseSeen.,KIT-TENEMENT-EXTERIOR; PROP-HOLD-SIGN; VFX-RAIN; AUD-CITY-STRAIN; CAM-CITY-WIDE,"A fast player cannot miss the transport entirely: delay its background crossing until the composition is valid, without freezing foreground control.",71,75
C04-S01,4,The waiting passengers,4,Exploration / enemy port reveal,34 m passenger foyer; background inspection booth,Rows of luggage face closed departure doors. Public arrows point toward temporary accommodation below ground. A Custodian steps into an inspection booth and lifts a waterproof harness cover.,Move beneath the booth window and open the low baggage hatch. Watch a service arm test the now-visible white contact: the worker’s body locks while his eyes move. This is a safe demonstration before player use.,The worker cannot see Ivo in the opaque baggage trench. Avoid staging that looks like the player is safe only because AI is disabled without a reason.,Exposed ports now identify holdable human harnesses. Covered workers retain their visible physical shielding.,CP-C04-01 in baggage trench.,KIT-TRAM; PROP-INSPECTION-BOOTH; CHR-CUSTODIAN-EXPOSED; ANIM-HARNESS-TEST,Players distinguish a covered contact from an exposed contact. No ability popup implies a magical new biological power.,75,79
C04-S02,4,His eyes are still moving,5,P12 restrain a person,20 m inspection exit; frontal approach with retreat alcove,An exposed Custodian opens the near door and sees Ivo. He extends his restraint arm; the ceramic contact faces the player. His approach is slow enough for recognition.,"Hold the harness at any point before its capture reach. Pass within the 6 m connection envelope, use a one-handed side latch, and enter a protected recess. Release when the closed latch separates them. The camera keeps his face readable without a close-up cut.","The body arrests; his eyes track Ivo and shallow breathing continues. The first capture retry begins before he opens the door, not back at the inspection demonstration.",The player now knows that arrest is not unconsciousness. A matching breath is heard from the wall anchors on the next passage.,CP-C04-02 before approach; CP-C04-03 in latched recess.,SYS-HARNESS-HOLD; ANIM-EYE-TRACK; AUD-CUSTODIAN-BREATH; PROP-SIDE-LATCH,The restrained pose cannot retain an active capture volume. Eye animation continues but skeleton-root movement and locomotion do not.,79,84
C04-S03,4,"One hand, two dangers",6,P13 sequencing / enemy and machine,"30 m baggage ramp; rolling trolley, foot brake, shutter and exposed worker","An exit shutter needs Hold, but the Custodian stands between Ivo and its contact. A trolley rests on an inclined rail; a physical stop can wedge it across the worker’s lane.","Before entering the worker’s sightline, position the trolley at its release mark with both hands. Freeze the approaching harness, then use the one-handed brake release from cover. Gravity rolls the trolley into the lane stop. Release the worker; he must move the blocked trolley before advancing. Hold the shutter and escape. Ivo never performs a two-handed push while maintaining Hold.",A prematurely released trolley can be reset from the sheltered crank. The worker has no teleporting bypass and cannot randomly ignore the heavy obstacle. Capture repeats the current attempt only.,The player has solved a release problem: success required planning what the restrained person would do after regaining movement.,CP-C04-04 after trolley staging and before detection; CP-C04-05 beyond shutter.,PUZ-TROLLEY-BRAKE; AI-BLOCKED-PATH; PUZ-SHUTTER; ANIM-CUSTODIAN-HEAVE,"At least two frames of overlap in hold/transfer inputs cannot skip ownership rules. Validate early brake release, holding the shutter too soon and reversing along the ramp.",84,90
C04-S04,4,The Braced Porter,6,P14 moving rescue rig / horror traversal,38 m luggage hall; overhead rescue path and suspended access basket,"A rescue rig sweeps a long arm through the hall, gathering abandoned luggage into a safety cage. A human worker hangs inside it. The rig’s path, pauses and exposed main brake contact are shown once from a safe shelf.","Move a luggage frame beneath the overhead track while the rig is away. Climb it, acquire the main harness contact, and Hold the rig when its suspended access basket is level with a service ledge. Step onto the basket floor—not the person—and make a short one-handed ledge catch to the exit. Maintain the link until solid ground; release and watch the entire rescue cycle resume.",The rig can secure Ivo if approached during its capture stroke. Its main Hold stops the full authored carriage/harness process; there is no unexplained partial immunity. Loose hoses and the worker’s eyes remain active.,A person has become the restrained support beneath Ivo’s crossing. The worker’s faint attempt to lift his fingers is readable from the far ledge.,CP-C04-06 after the luggage frame is positioned; CP-C04-07 on exit ledge.,CHR-PORTER; PUZ-RESCUE-RIG; PROP-LUGGAGE-FRAME; ANIM-PORTER-CYCLE; AUD-RIG-BREATH,All capture strokes have visible windup. The basket stays stable under Ivo during Hold; release within contact range cannot impart an unbounded launch impulse.,90,96
C04-S05,4,The tram that never arrived,5,P15 balance / controlled settlement,30 m derailment bay; one tram section and two support shoes,A tram hangs partly off its track. Two service shoes can slide beneath the wheel flange. The original suspension contact leads toward the burden rooms.,"Use the local ratcheted hand winch to raise the near tram edge slightly, Hold its certified brake process, and engage the first shoe with a one-handed lever. Repeat from the other visible service point for the second shoe; both are parts of one supported assembly. Release so the carriage settles onto the shoes. Its interior now makes a sloping passage.","Unsupported movement is visibly hazardous, but service alcoves are safe. The tram does not depend on unconstrained rigidbody tipping; its authored hinge and support tests determine safe settlement.",The player physically relieves a load while following its former connection. One distant sustained note stops for the first time in the hall.,CP-C04-08 after each support shoe locks; CP-C04-09 inside supported tram.,ENV-TRAM-HERO; PUZ-SUPPORT-SHOES; PUZ-WINCH; AUD-TRAM-SETTLE,Either shoe can be prepared first. A one-shoe state saves correctly and cannot become an unrecoverable tilt.,96,101
C04-S06,4,The other side of the fittings,4,Revelation / chapter transition,26 m descending cable gallery; view through opened maintenance wall,A Custodian behind a barred opening recognizes the direction Ivo is taking. He does not attack through the bars; his eyes turn toward rows of narrow cabinets below.,Open an ordinary service latch and descend. The camera passes behind the wall rather than cutting to a separate laboratory. The first cabinet reveals an intact person with a hand in the socket previously seen from its public side.,No immediate pursuit. Machinery and breathing align precisely enough to connect cause and effect. Do not fill the room with unrelated grotesque props.,The central mystery becomes concrete: hidden conscious people sustain the infrastructure. The burden rooms are physically continuous with familiar spaces.,CP-C04-10 after entering bearer gallery.,ENV-ANCHOR-BACK; CHR-BEARER; ANIM-BEARER-STRAIN; AUD-MACHINE-BODY-LINK,Narrative comprehension check without leading questions: ask what the cabinets do and what the person experiences.,101,105
C05-S01,5,The people carrying the town,5,Exploration / recognition,42 m narrow bearer galleries; three glimpses of earlier mechanisms,"The reverse sides of the laundry roller, kitchen floor and tram brake occupy adjoining rooms. A woman’s fingers repeat the roller rhythm. A man’s shoulders hold the floor angle. These are exact visual and audio callbacks, not arbitrary new victims.",Cross low maintenance platforms and open a light ventilation flap for a bearer whose hand remains occupied. Orren is briefly visible recovering in a protected upper refuge. He rubs his bent shoe and watches the exit route rather than joining Ivo.,No enemy attacks during the first complete view. Some bearers look toward Ivo; others can only move their eyes. The player can stop and recognize the connection.,The consequence of earlier transfers becomes personal. A blocked service support creates the next opportunity to act differently.,CP-C05-01 beyond recognition gallery. Freed states from earlier chapters are reflected through saved proxies.,CHR-BEARER-VARIANTS; ENV-ANCHOR-BACK; AUD-CALLBACKS; PROP-VENT-FLAP; CHR-ORREN,Earlier relieved processes must not still show their bearers straining. Verify both direct chapter start presets and continuous campaign state.,105,110
C05-S02,5,Make room for a support,6,"P16 dependency relief, part A",28 m slab chamber; access platform blocks a support rail,"A roof slab is sustained by a woman in a wall cradle. A support trolley could take the weight, but its rail passes beneath a lowered maintenance platform. Raising that platform blocks Ivo’s own return route.","Hold the platform at its upper position and transfer it to an unused service anchor. Cross beneath it, slide the support trolley along the now-clear rail, and engage its parking pawl beneath the slab. The supporter’s head is still too low; its screw jack must be reached from a different level.",A safely staged small fragment falls from the slab before entry. The main slab does not instantly kill its bearer on an incomplete attempt; her existing connection remains active until a deliberate valid takeover.,The player has prepared relief but not completed it. The clearly visible screw jack gives the next local objective; no key hunt interrupts the dependency.,"CP-C05-02 after trolley parking. Save platform owner, trolley coordinate and pawl state together.",PUZ-SLAB; PUZ-SUPPORT-TROLLEY; PUZ-ACCESS-PLATFORM; CHR-BEARER-WOMAN,Neither trolley endpoint can block the sole return path permanently. The side service lever restores the platform when no Hold is active.,110,116
C05-S03,5,A room without a bearer,7,"P17 dependency relief, part B",30 m connected upper service ledge and slab jack,"The upper ledge overlooks the trolley staged below. An offset conduit port gives access to the slab restraint. Two mechanical gauges show contact and lock, using shapes rather than color alone.","Climb with free hands, turn the screw jack until its broad saddle contacts the slab, then engage the lock collar. Take the slab load through the service port and release gently. If the jack is too low, the slab settles only to the bearer’s existing safety stop and can be re-Held; the test is reversible. Once contact and collar are valid, the slab becomes Supported and the woman steps clear. Retrieve the now-unneeded platform Hold so its second bearer can relax as well.","The threat is understanding interdependence, not a countdown. A periodic pipe knock sounds like footsteps but remains clearly mechanical on observation.",Two burdens have been eliminated by one correctly supported structure. The empty cradles form a visible contrast with the occupied gallery behind.,CP-C05-03 after slab support; CP-C05-04 after platform relief. The second release is required for the forward maintenance hatch to settle open.,PUZ-SCREW-JACK; SYS-SUPPORT-CONDITION; ANIM-BEARER-STAND; AUD-TWO-RELIEFS,"Test all jack heights around tolerance, save during contact, and attempting relief in reverse order. No state should require restarting the entire prior sequence.",116,123
C05-S04,5,"Mother, in more than one place",7,Major narrative reveal / P18 takeover test,32 m central antechamber; human opening and distributed structural contacts,"Anja’s face appears behind a narrow opening. The doubled cuff and two taps establish identity. As Ivo approaches, the camera reveals that her arm enters a structural band and its motion continues at separated points along the wall.","Approach the exposed service hand and take one local load. Her fingers briefly relax. Interact to try the release handle, but the adjacent occupied-room supports visibly begin to move. A mechanical safety catch stops the attempt before injury. Anja closes Ivo’s hand on the brace, then pushes it away from a second central socket. The player can move within the room during the reframing; only the hand contact uses a short staged alignment.","This is not a boss encounter or a hidden test of rescuing her faster. The installation has already changed her body, and nothing in the tool can undo damage. A sustained breath in multiple walls makes the scale apparent.",The immediate rescue goal becomes impossible in its original form. A root conduit and a hydraulic schematic embossed in relief show where the remaining load goes.,CP-C05-05 before recognition; CP-C05-06 after Anja refuses the second contact. A replay offers a brief cinematic-skip route to the same authoritative state.,CHR-ANJA-INTEGRATED; ENV-ROOT-PROXY; ANIM-ANJA-REFUSAL; CAM-ROOT-REVEAL; AUD-ANJA-MULTIPOINT,Essential comprehension: intact bearer versus physically integrated bearer. At least 4/5 narrative testers understand why a simple disconnect cannot restore her.,123,130
