id,name,type,owner,first_use,uses,deliverable,gate,status,unit
SYS-MOTION,Fixed-step q-based mechanism framework,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M02,Not started,Work package / family
SYS-SAVE,Atomic semantic save and migrations,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M04,Not started,Work package / family
SYS-CHECKPOINT,Checkpoint validation and restore coordinator,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M04,Not started,Work package / family
SYS-STREAMING,"Chunk manifest, ownership pins and seam prefetch",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M07,Not started,Work package / family
SYS-CAMERA,"Camera volumes, look-ahead and node selection",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M07,Not started,Work package / family
SYS-ANIMATION,"Animation state, IK/contact and strain layers",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M11,Not started,Work package / family
SYS-AUDIO,"Audio event adapter, phase clock and mix state",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M11,Not started,Work package / family
SYS-EVENTS,Idempotent typed world events and trigger ledger,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M04,Not started,Work package / family
SYS-CINEMATICS,Short in-engine sequences with restore/skip policy,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M08,Not started,Work package / family
SYS-VALIDATOR,"GUID, missing reference and puzzle interlock checks",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M07,Not started,Work package / family
SYS-REPLAY-TEST,Canonical puzzle traces and regression fixtures,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M03,Not started,Work package / family
SYS-TELEMETRY,Local development telemetry and profiling,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M04,Not started,Work package / family
SYS-BUILD-CI,"Reproducible builds, package lock and smoke suite",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M00,Not started,Work package / family
SYS-QUALITY,Quality settings preserve visibility and game rules,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M11,Not started,Work package / family
