A1: THE HELD | ASSETS
A2: One row is a work package / family, not one finished file. First-use room cards define context; status is editable.
A4: ID | B4: Package | C4: Type | D4: Owner role | E4: First use | F4: Deliverable | G4: Gate | H4: Status
A22: ANIM-IVO-WITHDRAW | B22: Ivo Withdraw | C22: Animation | D22: Animator | E22: C07-S05 | F22: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G22: M11/M13 | H22: Not started
A23: ANIM-LADDER | B23: Ladder | C23: Animation | D23: Animator | E23: C02-S02 | F23: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G23: M11/M13 | H23: Not started
A24: ANIM-OPEN-HAND | B24: Open Hand | C24: Animation | D24: Animator | E24: C08-S06 | F24: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G24: M11/M13 | H24: Not started
A25: ANIM-ORREN-GATE | B25: Orren Gate | C25: Animation | D25: Animator | E25: C08-S05 | F25: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G25: M11/M13 | H25: Not started
A26: ANIM-PAIRED-WALK | B26: Paired Walk | C26: Animation | D26: Animator | E26: C08-S06 | F26: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G26: M11/M13 | H26: Not started
A27: ANIM-PLATFORM-BALANCE | B27: Platform Balance | C27: Animation | D27: Animator | E27: C01-S04 | F27: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G27: M11/M13 | H27: Not started
A28: ANIM-PORTER-CYCLE | B28: Porter Cycle | C28: Animation | D28: Animator | E28: C04-S04 | F28: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G28: M11/M13 | H28: Not started
A29: ANIM-PUSH | B29: Push | C29: Animation | D29: Animator | E29: C02-S05 | F29: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G29: M11/M13 | H29: Not started
A30: ANIM-SLEEVE-SNAG | B30: Sleeve Snag | C30: Animation | D30: Animator | E30: C02-S06 | F30: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G30: M11/M13 | H30: Not started
A31: ANIM-SLIDE | B31: Slide | C31: Animation | D31: Animator | E31: C08-S04 | F31: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G31: M11/M13 | H31: Not started
A32: ANIM-STATION-CONNECT | B32: Station Connect | C32: Animation | D32: Animator | E32: C06-S02 | F32: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G32: M11/M13 | H32: Not started
A33: ANIM-SURVIVOR-HELP | B33: Survivor Help | C33: Animation | D33: Animator | E33: C07-S04 | F33: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G33: M11/M13 | H33: Not started
A34: ANIM-TAP | B34: Tap | C34: Animation | D34: Animator | E34: C01-S01 | F34: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G34: M11/M13 | H34: Not started
A35: AUD-ALARM | B35: Alarm | C35: Audio | D35: Sound designer | E35: C01-S02 | F35: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G35: M11/M13 | H35: Not started
A36: AUD-ANJA-FINAL | B36: Anja Final | C36: Audio | D36: Sound designer | E36: C08-S02 | F36: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G36: M11/M13 | H36: Not started
A37: AUD-ANJA-MULTIPOINT | B37: Anja Multipoint | C37: Audio | D37: Sound designer | E37: C05-S04 | F37: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G37: M11/M13 | H37: Not started
A38: AUD-BEARER-INHALE | B38: Bearer Inhale | C38: Audio | D38: Sound designer | E38: C02-S02 | F38: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G38: M11/M13 | H38: Not started
A39: AUD-BRANCH-RELIEF | B39: Branch Relief | C39: Audio | D39: Sound designer | E39: C07-S03 | F39: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G39: M11/M13 | H39: Not started
A40: AUD-BUILDING-BREATH | B40: Building Breath | C40: Audio | D40: Sound designer | E40: C06-S05 | F40: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G40: M11/M13 | H40: Not started
A41: AUD-CALLBACKS | B41: Callbacks | C41: Audio | D41: Sound designer | E41: C05-S01 | F41: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G41: M11/M13 | H41: Not started
A42: AUD-CHASE-A | B42: Chase A | C42: Audio | D42: Sound designer | E42: C01-S06 | F42: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G42: M11/M13 | H42: Not started
A43: AUD-CITY-STRAIN | B43: City Strain | C43: Audio | D43: Sound designer | E43: C03-S06 | F43: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G43: M11/M13 | H43: Not started
A44: AUD-CUSTODIAN-BREATH | B44: Custodian Breath | C44: Audio | D44: Sound designer | E44: C04-S02 | F44: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G44: M11/M13 | H44: Not started
A45: AUD-ESCAPE | B45: Escape | C45: Audio | D45: Sound designer | E45: C08-S04 | F45: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G45: M11/M13 | H45: Not started
A46: AUD-FOOTSTEPS-OVERHEAD | B46: Footsteps Overhead | C46: Audio | D46: Sound designer | E46: C01-S05 | F46: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G46: M11/M13 | H46: Not started
A47: AUD-HOLD-MOTOR | B47: Hold Motor | C47: Audio | D47: Sound designer | E47: C01-S03 | F47: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G47: M11/M13 | H47: Not started
A48: AUD-HOME | B48: Home | C48: Audio | D48: Sound designer | E48: C01-S01 | F48: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G48: M11/M13 | H48: Not started
A49: AUD-HOUSE-BELL | B49: House Bell | C49: Audio | D49: Sound designer | E49: C03-S01 | F49: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G49: M11/M13 | H49: Not started
A50: AUD-LOAD-SETTLE | B50: Load Settle | C50: Audio | D50: Sound designer | E50: C02-S05 | F50: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G50: M11/M13 | H50: Not started
A51: AUD-MACHINE-BODY-LINK | B51: Machine Body Link | C51: Audio | D51: Sound designer | E51: C04-S06 | F51: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G51: M11/M13 | H51: Not started
A52: AUD-NETWORK-THIN | B52: Network Thin | C52: Audio | D52: Sound designer | E52: C07-S04 | F52: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G52: M11/M13 | H52: Not started
A53: AUD-ORDINARY-HINGE | B53: Ordinary Hinge | C53: Audio | D53: Sound designer | E53: C08-S05 | F53: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G53: M11/M13 | H53: Not started
A54: AUD-OUTLET | B54: Outlet | C54: Audio | D54: Sound designer | E54: C06-S03 | F54: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G54: M11/M13 | H54: Not started
A55: AUD-PAWL | B55: Pawl | C55: Audio | D55: Sound designer | E55: C03-S04 | F55: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G55: M11/M13 | H55: Not started
A56: AUD-PORCELAIN-CHIP | B56: Porcelain Chip | C56: Audio | D56: Sound designer | E56: C02-S06 | F56: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G56: M11/M13 | H56: Not started
A57: AUD-POST-JUNCTION | B57: Post Junction | C57: Audio | D57: Sound designer | E57: C07-S06 | F57: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G57: M11/M13 | H57: Not started
A58: AUD-PRESSURE-PULSE | B58: Pressure Pulse | C58: Audio | D58: Sound designer | E58: C05-S06 | F58: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G58: M11/M13 | H58: Not started
A59: AUD-RACK-ROLL | B59: Rack Roll | C59: Audio | D59: Sound designer | E59: C02-S04 | F59: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G59: M11/M13 | H59: Not started
A60: AUD-RIG-BREATH | B60: Rig Breath | C60: Audio | D60: Sound designer | E60: C04-S04 | F60: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G60: M11/M13 | H60: Not started
A61: AUD-ROOT-STRAIN | B61: Root Strain | C61: Audio | D61: Sound designer | E61: C08-S01 | F61: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G61: M11/M13 | H61: Not started
A62: AUD-ROOT-UNLOAD | B62: Root Unload | C62: Audio | D62: Sound designer | E62: C08-S03 | F62: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G62: M11/M13 | H62: Not started
A63: AUD-TRAM-SETTLE | B63: Tram Settle | C63: Audio | D63: Sound designer | E63: C04-S05 | F63: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G63: M11/M13 | H63: Not started
A64: AUD-TWO-RELIEFS | B64: Two Reliefs | C64: Audio | D64: Sound designer | E64: C05-S03 | F64: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G64: M11/M13 | H64: Not started
A65: AUD-UNSYNCED-STEPS | B65: Unsynced Steps | C65: Audio | D65: Sound designer | E65: C08-S06 | F65: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G65: M11/M13 | H65: Not started
A66: AUD-WATER-DRIP | B66: Water Drip | C66: Audio | D66: Sound designer | E66: C02-S01 | F66: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G66: M11/M13 | H66: Not started
A67: AUD-WATER-HELD | B67: Water Held | C67: Audio | D67: Sound designer | E67: C06-S01 | F67: Licensed source session and exports; event/parameter definitions; restart and phase behavior. | G67: M11/M13 | H67: Not started
A68: CAM-CITY-WIDE | B68: City Wide | C68: Camera/cinematic | D68: Level designer + animator | E68: C03-S06 | F68: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G68: M11/M13 | H68: Not started
A69: CAM-DEPENDENCY-VIEW | B69: Dependency View | C69: Camera/cinematic | D69: Level designer + animator | E69: C07-S02 | F69: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G69: M11/M13 | H69: Not started
A70: CAM-DEPTH-REVEAL | B70: Depth Reveal | C70: Camera/cinematic | D70: Level designer + animator | E70: C03-S05 | F70: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G70: M11/M13 | H70: Not started
A71: CAM-DETAIL | B71: Detail | C71: Camera/cinematic | D71: Level designer + animator | E71: C02-S06 | F71: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G71: M11/M13 | H71: Not started
A72: CAM-EVAC-OVERVIEW | B72: Evac Overview | C72: Camera/cinematic | D72: Level designer + animator | E72: C06-S06 | F72: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G72: M11/M13 | H72: Not started
A73: CAM-FLOOD-REVEAL | B73: Flood Reveal | C73: Camera/cinematic | D73: Level designer + animator | E73: C06-S01 | F73: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G73: M11/M13 | H73: Not started
A74: CAM-HAND-TWO-SHOT | B74: Hand Two Shot | C74: Camera/cinematic | D74: Level designer + animator | E74: C08-S02 | F74: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G74: M11/M13 | H74: Not started
A75: CAM-HOME | B75: Home | C75: Camera/cinematic | D75: Level designer + animator | E75: C01-S01 | F75: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G75: M11/M13 | H75: Not started
A76: CAM-NARROW-APPROACH | B76: Narrow Approach | C76: Camera/cinematic | D76: Level designer + animator | E76: C07-S06 | F76: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G76: M11/M13 | H76: Not started
A77: CAM-NETWORK-ENTRY | B77: Network Entry | C77: Camera/cinematic | D77: Level designer + animator | E77: C07-S01 | F77: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G77: M11/M13 | H77: Not started
A78: CAM-NODE-TRAVEL | B78: Node Travel | C78: Camera/cinematic | D78: Level designer + animator | E78: C06-S02 | F78: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G78: M11/M13 | H78: Not started
A79: CAM-PUZZLE | B79: Puzzle | C79: Camera/cinematic | D79: Level designer + animator | E79: C01-S03 | F79: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G79: M11/M13 | H79: Not started
A80: CAM-RETURN-BODY | B80: Return Body | C80: Camera/cinematic | D80: Level designer + animator | E80: C07-S05 | F80: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G80: M11/M13 | H80: Not started
A81: CAM-ROOT-REVEAL | B81: Root Reveal | C81: Camera/cinematic | D81: Level designer + animator | E81: C05-S04 | F81: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G81: M11/M13 | H81: Not started
A82: CAM-WIDE-PUZZLE | B82: Wide Puzzle | C82: Camera/cinematic | D82: Level designer + animator | E82: C02-S03 | F82: Authored framing volume/shot; look-ahead, occlusion, input policy and restart coverage. | G82: M11/M13 | H82: Not started
A83: CHR-ANJA | B83: Anja | C83: Character | D83: Character artist + animator | E83: C01-S01 | F83: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G83: M11/M13 | H83: Not started
A84: CHR-ANJA-HAND | B84: Anja Hand | C84: Character | D84: Character artist + animator | E84: C08-S02 | F84: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G84: M11/M13 | H84: Not started
A85: CHR-ANJA-INTEGRATED | B85: Anja Integrated | C85: Character | D85: Character artist + animator | E85: C05-S04 | F85: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G85: M11/M13 | H85: Not started
A86: CHR-BEARER | B86: Bearer | C86: Character | D86: Character artist + animator | E86: C04-S06 | F86: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G86: M11/M13 | H86: Not started
A87: CHR-BEARER-VARIANTS | B87: Bearer Variants | C87: Character | D87: Character artist + animator | E87: C05-S01 | F87: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G87: M11/M13 | H87: Not started
A88: CHR-BEARER-WOMAN | B88: Bearer Woman | C88: Character | D88: Character artist + animator | E88: C05-S02 | F88: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G88: M11/M13 | H88: Not started
A89: CHR-CUSTODIAN-COVERED | B89: Custodian Covered | C89: Character | D89: Character artist + animator | E89: C01-S06 | F89: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G89: M11/M13 | H89: Not started
A90: CHR-CUSTODIAN-EXPOSED | B90: Custodian Exposed | C90: Character | D90: Character artist + animator | E90: C04-S01 | F90: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G90: M11/M13 | H90: Not started
A91: CHR-IVO | B91: Ivo | C91: Character | D91: Character artist + animator | E91: C01-S01 | F91: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G91: M11/M13 | H91: Not started
A92: CHR-ORREN | B92: Orren | C92: Character | D92: Character artist + animator | E92: C03-S04 | F92: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G92: M11/M13 | H92: Not started
A93: CHR-PORTER | B93: Porter | C93: Character | D93: Character artist + animator | E93: C04-S04 | F93: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G93: M11/M13 | H93: Not started
A94: CHR-SURVIVOR-COHORT | B94: Survivor Cohort | C94: Character | D94: Character artist + animator | E94: C06-S06 | F94: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G94: M11/M13 | H94: Not started
A95: CHR-SURVIVOR-DISTANT | B95: Survivor Distant | C95: Character | D95: Character artist + animator | E95: C07-S06 | F95: Mesh/rig/material/LOD package; expressive hand/eye states; gameplay collision separate. | G95: M11/M13 | H95: Not started
A96: ENV-ANCHOR-BACK | B96: Anchor Back | C96: Hero environment | D96: Environment artist + technical artist | E96: C04-S06 | F96: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G96: M12/M13 | H96: Not started
A97: ENV-BREATHING-SUPPORTS | B97: Breathing Supports | C97: Hero environment | D97: Environment artist + technical artist | E97: C06-S05 | F97: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G97: M12/M13 | H97: Not started
A98: ENV-CENTRAL-JUNCTION | B98: Central Junction | C98: Hero environment | D98: Environment artist + technical artist | E98: C07-S01 | F98: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G98: M12/M13 | H98: Not started
A99: ENV-CONCRETE-DEFLECTOR | B99: Concrete Deflector | C99: Hero environment | D99: Environment artist + technical artist | E99: C06-S04 | F99: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G99: M12/M13 | H99: Not started
A100: ENV-EMBANKMENT | B100: Embankment | C100: Hero environment | D100: Environment artist + technical artist | E100: C08-S06 | F100: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G100: M12/M13 | H100: Not started
A101: ENV-INLAND-FOOTWAY | B101: Inland Footway | C101: Hero environment | D101: Environment artist + technical artist | E101: C06-S06 | F101: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G101: M12/M13 | H101: Not started
A102: ENV-REPLACEMENT-CRADLE | B102: Replacement Cradle | C102: Hero environment | D102: Environment artist + technical artist | E102: C05-S05 | F102: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G102: M12/M13 | H102: Not started
A103: ENV-ROOT-PROXY | B103: Root Proxy | C103: Hero environment | D103: Environment artist + technical artist | E103: C05-S04 | F103: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G103: M12/M13 | H103: Not started
A104: ENV-SEA-DISTANT | B104: Sea Distant | C104: Hero environment | D104: Environment artist + technical artist | E104: C06-S01 | F104: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G104: M12/M13 | H104: Not started
A105: ENV-SUSPENDED-SURGE | B105: Suspended Surge | C105: Hero environment | D105: Environment artist + technical artist | E105: C06-S01 | F105: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G105: M12/M13 | H105: Not started
A106: ENV-TRAM-HERO | B106: Tram Hero | C106: Hero environment | D106: Environment artist + technical artist | E106: C04-S05 | F106: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G106: M12/M13 | H106: Not started
A107: ENV-TRAM-RETURN-PROXY | B107: Tram Return Proxy | C107: Hero environment | D107: Environment artist + technical artist | E107: C07-S03 | F107: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G107: M12/M13 | H107: Not started
A108: ENV-WALL-DEPRESS | B108: Wall Depress | C108: Hero environment | D108: Environment artist + technical artist | E108: C03-S01 | F108: Authored shot geometry, state variants, collision/motion authority, LOD/streaming and effects. | G108: M12/M13 | H108: Not started
A109: KIT-DOMESTIC | B109: Domestic | C109: Environment kit | D109: Environment artist | E109: C01-S01 | F109: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G109: M07/M13 | H109: Not started
A110: KIT-DOMESTIC-BACK | B110: Domestic Back | C110: Environment kit | D110: Environment artist | E110: C03-S01 | F110: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G110: M07/M13 | H110: Not started
A111: KIT-ESCAPE-SETTLE | B111: Escape Settle | C111: Environment kit | D111: Environment artist | E111: C08-S04 | F111: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G111: M07/M13 | H111: Not started
A112: KIT-HYDRAULIC | B112: Hydraulic | C112: Environment kit | D112: Environment artist | E112: C05-S06 | F112: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G112: M07/M13 | H112: Not started
A113: KIT-LAUNDRY | B113: Laundry | C113: Environment kit | D113: Environment artist | E113: C02-S01 | F113: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G113: M07/M13 | H113: Not started
A114: KIT-ROOT-STONE | B114: Root Stone | C114: Environment kit | D114: Environment artist | E114: C07-S06 | F114: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G114: M07/M13 | H114: Not started
A115: KIT-SERVICE | B115: Service | C115: Environment kit | D115: Environment artist | E115: C01-S04 | F115: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G115: M07/M13 | H115: Not started
A116: KIT-TENEMENT-EXTERIOR | B116: Tenement Exterior | C116: Environment kit | D116: Environment artist | E116: C03-S06 | F116: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G116: M07/M13 | H116: Not started
A117: KIT-TRAM | B117: Tram | C117: Environment kit | D117: Environment artist | E117: C04-S01 | F117: Snap-compatible modules; scale, pivots, UVs/materials, colliders and assembled test room. | G117: M07/M13 | H117: Not started
A118: PROP-ACCESS-LADDER | B118: Access Ladder | C118: Prop | D118: Environment artist | E118: C06-S06 | F118: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G118: M11/M13 | H118: Not started
A119: PROP-BASKET | B119: Basket | C119: Prop | D119: Environment artist | E119: C02-S01 | F119: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G119: M11/M13 | H119: Not started
A120: PROP-BYPASS-LEVER | B120: Bypass Lever | C120: Prop | D120: Environment artist | E120: C05-S05 | F120: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G120: M11/M13 | H120: Not started
A121: PROP-CHAIR | B121: Chair | C121: Prop | D121: Environment artist | E121: C01-S01 | F121: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G121: M11/M13 | H121: Not started
A122: PROP-CRANK | B122: Crank | C122: Prop | D122: Environment artist | E122: C02-S03 | F122: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G122: M11/M13 | H122: Not started
A123: PROP-CUP | B123: Cup | C123: Prop | D123: Environment artist | E123: C01-S01 | F123: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G123: M11/M13 | H123: Not started
A124: PROP-FINAL-LINKAGES | B124: Final Linkages | C124: Prop | D124: Environment artist | E124: C08-S01 | F124: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G124: M11/M13 | H124: Not started
A125: PROP-HAND-REVEAL | B125: Hand Reveal | C125: Prop | D125: Environment artist | E125: C02-S06 | F125: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G125: M11/M13 | H125: Not started
A126: PROP-HEIGHT-MARKS | B126: Height Marks | C126: Prop | D126: Environment artist | E126: C03-S05 | F126: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G126: M11/M13 | H126: Not started
A127: PROP-HOLD-SIGN | B127: Hold Sign | C127: Prop | D127: Environment artist | E127: C03-S06 | F127: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G127: M11/M13 | H127: Not started
A128: PROP-INNER-LATCH | B128: Inner Latch | C128: Prop | D128: Environment artist | E128: C03-S05 | F128: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G128: M11/M13 | H128: Not started
A129: PROP-INSPECTION-BOOTH | B129: Inspection Booth | C129: Prop | D129: Environment artist | E129: C04-S01 | F129: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G129: M11/M13 | H129: Not started
A130: PROP-LUGGAGE-FRAME | B130: Luggage Frame | C130: Prop | D130: Environment artist | E130: C04-S04 | F130: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G130: M11/M13 | H130: Not started
A131: PROP-LUNCH-TIN | B131: Lunch Tin | C131: Prop | D131: Environment artist | E131: C03-S01 | F131: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G131: M11/M13 | H131: Not started
A132: PROP-PLATES | B132: Plates | C132: Prop | D132: Environment artist | E132: C03-S03 | F132: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G132: M11/M13 | H132: Not started
A133: PROP-RAIL-CABINET | B133: Rail Cabinet | C133: Prop | D133: Environment artist | E133: C03-S03 | F133: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G133: M11/M13 | H133: Not started
