A1: THE HELD | SYSTEMS
A2: One row is a work package / family, not one finished file. First-use room cards define context; status is editable.
A4: ID | B4: Package | C4: Type | D4: Owner role | E4: First use | F4: Deliverable | G4: Gate | H4: Status
A27: SYS-TRANSFER | B27: Transfer | C27: System | D27: Gameplay/lead engineer | E27: C02-S02 | F27: Runtime contract, data/config, debug view, save behavior and automated fixture. | G27: M02/M12 | H27: Not started
A28: SYS-WITHDRAWAL-HANDOFF | B28: Withdrawal Handoff | C28: System | D28: Gameplay/lead engineer | E28: C07-S05 | F28: Runtime contract, data/config, debug view, save behavior and automated fixture. | G28: M02/M12 | H28: Not started
A29: SYS-CONTROLLER | B29: Plane-constrained player controller | C29: System | D29: Lead/gameplay engineer | E29: Shared | F29: Master section10 contract and section13 tests; editor/runtime integration required. | G29: M01 | H29: Not started
A30: SYS-INPUT | B30: Remapping, toggle actions and interruption guard | C30: System | D30: Lead/gameplay engineer | E30: Shared | F30: Master section10 contract and section13 tests; editor/runtime integration required. | G30: M01 | H30: Not started
A31: SYS-MOTION | B31: Fixed-step q-based mechanism framework | C31: System | D31: Lead/gameplay engineer | E31: Shared | F31: Master section10 contract and section13 tests; editor/runtime integration required. | G31: M02 | H31: Not started
A32: SYS-SAVE | B32: Atomic semantic save and migrations | C32: System | D32: Lead/gameplay engineer | E32: Shared | F32: Master section10 contract and section13 tests; editor/runtime integration required. | G32: M04 | H32: Not started
A33: SYS-CHECKPOINT | B33: Checkpoint validation and restore coordinator | C33: System | D33: Lead/gameplay engineer | E33: Shared | F33: Master section10 contract and section13 tests; editor/runtime integration required. | G33: M04 | H33: Not started
A34: SYS-STREAMING | B34: Chunk manifest, ownership pins and seam prefetch | C34: System | D34: Lead/gameplay engineer | E34: Shared | F34: Master section10 contract and section13 tests; editor/runtime integration required. | G34: M07 | H34: Not started
A35: SYS-CAMERA | B35: Camera volumes, look-ahead and node selection | C35: System | D35: Lead/gameplay engineer | E35: Shared | F35: Master section10 contract and section13 tests; editor/runtime integration required. | G35: M07 | H35: Not started
A36: SYS-ANIMATION | B36: Animation state, IK/contact and strain layers | C36: System | D36: Lead/gameplay engineer | E36: Shared | F36: Master section10 contract and section13 tests; editor/runtime integration required. | G36: M11 | H36: Not started
A37: SYS-AUDIO | B37: Audio event adapter, phase clock and mix state | C37: System | D37: Lead/gameplay engineer | E37: Shared | F37: Master section10 contract and section13 tests; editor/runtime integration required. | G37: M11 | H37: Not started
A38: SYS-EVENTS | B38: Idempotent typed world events and trigger ledger | C38: System | D38: Lead/gameplay engineer | E38: Shared | F38: Master section10 contract and section13 tests; editor/runtime integration required. | G38: M04 | H38: Not started
A39: SYS-CINEMATICS | B39: Short in-engine sequences with restore/skip policy | C39: System | D39: Lead/gameplay engineer | E39: Shared | F39: Master section10 contract and section13 tests; editor/runtime integration required. | G39: M08 | H39: Not started
A40: SYS-VALIDATOR | B40: GUID, missing reference and puzzle interlock checks | C40: System | D40: Lead/gameplay engineer | E40: Shared | F40: Master section10 contract and section13 tests; editor/runtime integration required. | G40: M07 | H40: Not started
A41: SYS-REPLAY-TEST | B41: Canonical puzzle traces and regression fixtures | C41: System | D41: Lead/gameplay engineer | E41: Shared | F41: Master section10 contract and section13 tests; editor/runtime integration required. | G41: M03 | H41: Not started
A42: SYS-TELEMETRY | B42: Local development telemetry and profiling | C42: System | D42: Lead/gameplay engineer | E42: Shared | F42: Master section10 contract and section13 tests; editor/runtime integration required. | G42: M04 | H42: Not started
A43: SYS-BUILD-CI | B43: Reproducible builds, package lock and smoke suite | C43: System | D43: Lead/gameplay engineer | E43: Shared | F43: Master section10 contract and section13 tests; editor/runtime integration required. | G43: M00 | H43: Not started
A44: SYS-QUALITY | B44: Quality settings preserve visibility and game rules | C44: System | D44: Lead/gameplay engineer | E44: Shared | F44: Master section10 contract and section13 tests; editor/runtime integration required. | G44: M11 | H44: Not started
