id,title,start_week,end_week,dependencies,build,assets,systems,playable,tests,problems,exit_gate,status
M10,First fifteen-minute chronological build,18,22,"[""M04"", ""M06"", ""M07""]","Integrate actual kitchen, landing, transport, brace pickup, shutter and tread; stage the beginning of pursuit at the fifteen-minute boundary.","Ivo/Anja production rigs, domestic props, landing/transport hardware, opening contacts and two-tap audio.","Full opening event phases, saved brace ownership, controller UI, camera transition and checkpoints.","The actual first fifteen minutes from a new game, not a montage of later rooms.","Onboarding with no coaching, opening control within seconds, child/mother relationship, restart at transport phases.","Exposition dependency, lengthy noninteractive intro, lost brace, confusing target, mother animations preventing progress.",Fresh players know whom they are following and can use Hold; every opening interruption resumes coherently.,Backlog
M11,First complete chapter,21,25,"[""M10""]","Finish C01 including full pursuit, exterior transition and hostel landmark. Add complete chapter save/quit/retry handling.","Final C01 art/audio pass, Custodian doorway catch, garden threshold and landmark proxy.",All chapter systems including streamed exit and durable DoorBlocked/BraceOwned state.,The full approximately eighteen-minute Upper Terrace chapter in a packaged build.,"Entire chapter on keyboard/controller, low-spec preliminary profile, capture retries and fast traversal into next chunk.","Chapter exit hitch, pursuit too hard after successful tutorial, landmark oversold, duplicated guards.",No blocker/softlock; all C01 sequence cards have signed design/engineering/art/audio/QA review.,Backlog
M12,First thirty-minute continuous build,24,28,"[""M11"", ""M06""]","Add the Gardens through its early Porter encounter, preserving the actual chronological path and weather/acoustic transition.","Garden kit, windscreen, wader, sluice/float, loading terrace and Porter presentation.","Flow diversion, natural ambient behavior, Porter teaching, streaming and cross-chapter ledger.",First thirty active minutes without debug jumps; the remaining garden route may continue beyond this test boundary.,"Pacing, mechanic recurrence versus repetition, environmental variety, route inference and memory of Anja.","Open area feels empty, reused angle puzzle overstays, water rules conflict, story urgency disappears.",C01–C02 transition works without a loading screen or reset; fresh-player timing data identifies revisions before art lock.,Backlog
M13,Shipping-quality vertical slice and flagship benchmark,25,34,"[""M07"", ""M08"", ""M09"", ""M12""]",Finish all four Laundry sequences at representative shipping quality. In parallel finish a three-to-six-minute First Step quality benchmark to prove the late-game art/animation/audio cost.,"Final Ivo, transfer bridge, sheet/rack/blanket systems, hand reveal, Custodian, room kit, full audio/mix/lighting; Ward hero interior and reveal subset.","Movement, Hold, puzzles, stealth, saves, streaming, captions, performance capture and integrated presentation; final-quality Ward subset.","Continuous twenty-four-minute Laundry chapter from entry to exit, plus separate flagship benchmark. Neither is passed by a trailer or static screenshot.","At least two rounds of unfamiliar players, packaged floor-machine tests, long retry soak, pause/reload matrix, sensory sign-off and actual task-time logging.","Beautiful but unreadable image, gameplay not matching benchmark, hand reveal missed, late-game feature hidden from budget, unrepeatable quality.",All disciplines sign a representative result; known blockers closed; measured throughput produces a revised staffing/schedule estimate before bulk production.,Backlog
M14,Full end-to-end playable campaign,35,56,"[""M13""]","Build all nine chapters in greybox or gameplay-grade art, including real underwater route, Anja reveal, discharge proof, twelve-person evacuation and canonical ending.",Complete functional collision/rig/socket set; readable stand-in art/audio for all beats; no missing story-critical actor.,All mandatory mechanics and dependencies integrated; synthetic finale flags replaced with real progression.,"New game to final fade with no editor commands, teleport, placeholder win button or skipped climax.","Full fresh runs, chapter times, prerequisite graph, all checkpoints and story comprehension. Record per-sequence stalls and recurring failures.","Late route contradiction, repetitive puzzle grammar, impossible body/hand use, unearned transformation, incomplete ending.","Every sequence has a working route, coherent reset and event chain; campaign reaches the actual ending. Content may be visually unfinished, but design is complete enough to estimate.",Backlog
M15,Alpha — feature and content complete,57,78,"[""M14""]","Finish every planned feature, sequence, mandatory asset family and supported setting; replace critical stand-ins; freeze new mechanics.","All character/environment/puzzle assets present at alpha quality; complete animation and audio coverage; menus, captions and credits.","Feature-complete gameplay, persistence, streaming, cohort, Ward, localization pipeline and release guard.",Whole campaign with all player-facing systems and content represented; only polish/optimization/localization fixes remain.,"Regression suite, unsupported-order play, long-run memory, controller hotplug, all root phases and save migration fixtures.","Feature creep, borrowed placeholder rights, missing accessibility, art that requires changed collision, content only working in editor.",No missing required feature or sequence; scope frozen; bug severity and polish backlog triaged; engine-support review completed.,Backlog
M16,Beta — stable representative experience,79,94,"[""M15""]",Resolve major usability/logic defects and bring the whole campaign close to intended final sensory quality. Conduct full external playtesting and localization review.,Near-final lighting/animation/audio/VFX; localized UI/captions; approved reference screenshots and content disclosures.,Stable saves and integrated quality settings; measured performance and recovery paths.,Complete representative game suitable for an external test cohort under controlled distribution.,"Fresh full-playthrough median, narrative interviews, missed reveals, comfort/accessibility, minimum-spec matrix and save compatibility.","Duration inflated by confusion, subtle cues unreadable, ending interpreted as arbitrary punishment, Ward repetition, low-spec lost information.",No progression blockers or reproducible save loss; key comprehension targets met; remaining work is bounded fixes/polish rather than redesign.,Backlog
M17,Optimization and final polish,95,106,"[""M16""]","Optimize measured CPU/GPU/memory bottlenecks and polish contact, camera, sound transitions and brief failures without changing the creative contract.","LOD/texture/shader refinements, compressed audio policy, final contact clips, quality-tier profiles.","Stable frame pacing, asset residency, pooling, loading, audio priorities and reduced-effects equivalents.",Full game at agreed quality/performance tiers with final-length transitions and release candidate content.,"Cold/warm routes, maximum Ward view, long sessions, repeat respawns, shader warmup and hardware-specific faults.","Optimizations alter physics, low settings hide danger, stripped animation events break puzzles, memory growth across reloads.",Measured budgets met on documented fixtures; all gameplay regressions rerun; no content removed silently to win a benchmark.,Backlog
M18,Release candidate and delivery rehearsal,107,112,"[""M17""]","Produce versioned candidates, freeze content, verify installation/update/uninstall and backup/restore. Finish rights, credits, store materials and support procedures.","Final package, original captures/key art, licenses, credits, disclosures and known-issue/support templates.","Shipping configuration, debug stripping, save compatibility, error reporting and reproducible artifact archive.",Exact candidate build distributed through the intended test channel and played from a clean machine to ending.,"Clean install and offline launch, missing/corrupt save, full disk, input devices, ending resume and update from supported prior save.","Development-only dependency, incorrect build hash, absent notice, store claim not matching game, new last-minute content regression.",Zero open ship-blocking defects; evidence and sign-offs archived; rollback candidate exists and support owner is assigned.,Backlog
M19,Final production build and launch,113,116,"[""M18""]","Sign off the exact shipping build, archive source/build provenance and perform release smoke checks. Release only after gates, not merely because the week arrives.","Approved executable/content, storefront assets, credits and support documentation.",All shipping services/configuration and local save behavior verified in final distribution form.,Public release candidate identical to signed artifact; complete campaign and settings available offline.,Final install/continue/new-game/critical scenes/ending smoke on distribution build; verify no content differs from approved candidate.,"Wrong package uploaded, accidental debug flag, launch hotfix without regression, unowned support queue.","Director, technical lead, producer and QA approve artifact hash; rollback and hotfix triage are ready; no known blocker waived by schedule alone.",Backlog
M20,"Reserve, stabilization and post-release review",117,120,"[""M19""]","Use reserve before launch when gates slip; otherwise handle verified defects, compatibility reports and a production retrospective. No unplanned expansion is assumed.",Targeted corrected assets only; archived repro saves and support captures.,"Hotfix branch, regression selection, save migration safety and release notes.",Stable supported build; fixes preserve existing player progress and canonical ending.,Every fix includes reproducible test plus affected chapter/root/save regression; monitor patterns rather than isolated preference.,"Reserve consumed by scope growth, risky engine upgrade, patch invalidates saves, reactive redesign of locked story.",Critical issues resolved or transparently documented; final archive and retrospective identify maintainable owners and future port decision.,Backlog
