id,chapter,title,minutes,puzzles,blockout,actors,initial_state,storyboard,solution,threat_and_recovery,narrative,audio,checkpoint,save_contract,exit,acceptance,start_min,end_min
SQ-03-03,C03,The weight of wet cloth,6,"[""PZ-10""]","Rinse-lift chamber 30 × 11 × 14 m. Dry rack x=8, lift x=17, overhead rinse spout x=9, lower drain handle x=23. Lift has top, crossing and service stops with visible notches.","[""CHR-IVO"", ""ENV-LAUNDRY"", ""GME-WET-RACK"", ""GME-LIFT"", ""GME-RINSE"", ""GME-ANCHOR"", ""FX-WATER-FLOW""]",Dry rack mass is below the lift’s counterbalance threshold. Wetness scalar begins at 0. The inlet can be directed onto the rack; lower drain access requires the mid-height crossing.,A / Frame both weights of the system with their cable crossing visible. B / Water darkens blankets and the rack visibly settles. C / The changed lift height exposes the lower drain passage instead of merely opening a generic door.,"Rotate the rinse spout toward the rack using a one-hand handle. Water increases its authored mass from dry to saturated over 8 seconds; the counterbalanced lift descends. Arrest at the marked crossing notch and transfer to the nearby anchor. Cross the lift to reach the drain, then close the inlet and open the rack drain. Reduced mass pulls the lift upward, but a mechanical service catch now intercepts it and opens the lower crawl route. Release the anchor only after the catch is seated. One scalar controls visual wetness, weight and drip rate.",Overflow is safe and bounded. The rack is guided; cloth simulation cannot change its physical mass or catch in the lift. An incorrect stop can be released and retried from either bank. A support indicator prevents an ambiguous release.,"The player enjoys predicting a material behavior. The darker implication appears only through the transferred strain, not a separate cutscene.","Dry cloth, saturation trickle, heavier cable creak and a dwindling drain. The bearer’s breath follows strain but is mixed below the puzzle’s functional cues.",CK-03-03,"Store wetness scalar, inlet/drain states, lift q, anchor owner and service catch. Checkpoint after the catch; wetness resumes from authored state, not wall-clock elapsed time.",The crawl route places Ivo close to a damaged porcelain fitting while the solved machinery remains audible behind him.,Player can identify why wetness matters without a numeric weight label. No double-Hold solution is required. Saving at every quarter of saturation reconstructs matching height and audio.,52,58
SQ-03-04,C03,"A cover, not a machine",6,[],"Narrow maintenance return 58 × 5 × 7 m, one body-width squeeze at x=24. Damaged fitting at x=26 y=1.05; linen dispatch exit x=51. Optional alcove shows old replaced covers.","[""CHR-IVO"", ""ENV-SERVICE"", ""GME-WALL-FITTING"", ""CHR-BEARER-HAND"", ""PRP-PORCELAIN-SHARD"", ""FX-DUST""]",A cover is already chipped. The story hand has independent finger and breath motion; it is not a dismembered pick-up or enemy. Only one reveal can commit.,"A / Ivo squeezes sideways through a believable maintenance gap. B / His sleeve brushes the chipped fitting; a small shard falls with the camera at gameplay distance. C / As he turns toward the dispatch passage, a fingernail flexes beneath the cover. The framing gives enough contrast without a zoom into gore.","Use ordinary movement and the contextual squeeze; the player retains forward/back intent during approach and can pause after the contact. A short one-hand lift of a loose cover permits a clearer optional view but is not required for comprehension. Continue through a linen chute with a controllable ladder descent. The section includes a safe observation loop and a small service door lift, not a six-minute uninteractive reveal. The first transfer sound returns from the now-revealed wall.",No attack or chase follows the finger. Do not train the player to distrust every quiet inspection. Shard collision is cosmetic; it cannot obstruct the narrow exit. The squeeze has a safe cancel point before entry.,"Porcelain is a housing for a connection to a person. This is the first undeniable physical hint, not the full reverse-side explanation.","One dry ceramic tick, a joint movement in the familiar drum rhythm, distant linen wheels. Remove the low musical layer briefly without muting the room.",CK-03-04,"FingernailSeen persists after the interaction threshold. Re-entering plays idle hand motion, not another shard break. Save player on either side of the squeeze, never embedded halfway.",A dispatch hatch opens into ordered transit architecture. Cool daylight replaces the close laundry task light.,"At least four of five first-time viewers notice an organic detail, without needing to identify whose hand. Low-vision contrast mode preserves its meaning. The scene remains unsettling without a sting.",58,64
SQ-04-01,C04,A waiting room beneath a waiting room,6,[],"Exchange hall 64 × 18 × 24 m. Upper public passage at y=7, restrained queue rail y=1 in background z=4, player maintenance lane y=0. Suspended tram at x=33.","[""CHR-IVO"", ""ENV-EXCHANGE"", ""CHR-RESIDENTS"", ""CHR-BEARER-01"", ""CHR-BEARER-02"", ""GME-TRAM"", ""PRP-LUGGAGE""]","Public residents use independent short routes. Restrained queue is driven by the deck load parameter, with separate look and breath tracks. No automatic marching loop.",A / Bright ordered upper concourse contrasts with the lower lane. B / A tram weight shifts; bodies below lean while a face remains turned toward Ivo. C / A brief window view recalls the hostel and its curtain beyond the platform.,"Climb through an inspection opening, move a light luggage frame and traverse beneath the tram. A local inspection lever shifts a small test load enough to demonstrate compensation without requiring a full puzzle. Ivo can reverse the lever and watch the same people respond. This optional experiment makes the cause-and-effect readable. The exit path passes toward the main loaded deck, so the observation is spatially connected to the next challenge.",No guard attack during the first crowd demonstration. Decorative residents cannot wander into the player lane. The tram cannot crush Ivo outside its marked moving zone.,"Public life is literally supported by a constrained group. Different eyes, fingers and breaths establish awareness before Ivo restrains a worker himself.","Upper footsteps and luggage are softened by distance; lower restraint clicks answer the load. Voices remain indistinct, not a hidden exposition conversation.",CK-04-01,Record CrowdCompensationSeen when the test completes or Ivo reaches the next inspection opening with the demonstration visible. Crowd individual IDs remain stable into evacuation.,The loaded deck blocks the low route; a service jack below it is already visible through a maintenance window.,Viewers distinguish coordinated body response from coordinated intention. Looking away does not make the mandatory causal event happen permanently offscreen.,64,70
SQ-04-02,C04,The queue that leans,7,"[""PZ-11""]","Loaded deck puzzle 36 × 9 × 15 m. Pivot x=18; deck spans x=10–26; jack storage x=5, jack rail ends x=16. Anchor x=9; crank accessible from under-deck refuge at x=14.","[""CHR-IVO"", ""ENV-EXCHANGE"", ""GME-TILT-DECK"", ""GME-JACK"", ""GME-ANCHOR"", ""CHR-BEARER-01"", ""CHR-BEARER-02""]",Deck tilted enough to block passage and force the waiting rail to compensate. Jack is too far left to receive it. Personal Hold keeps the deck safe but occupies a hand needed to move the jack.,"A / The deck and waiting bodies share a composition, while the jack is in a readable lower pocket. B / A successful anchor transfer shifts the strain to the plate behind the queue. C / When the jack takes weight, torsos relax at slightly different rates; one person continues gripping a rail after it is no longer needed.","Raise the deck with its low service lever and arrest at the clearance notch. Transfer to the available anchor. Move the jack along its constrained rail beneath the deck, then turn its two-hand crank until its top contacts the receiving plate. Interact seats its ratchet. Release the anchor; the deck descends a small visible amount onto the jack and stays there. The queue is relieved because the deck correction is no longer demanded, not because Ivo sends a mental command. Crawl through the newly safe underside and unlatch the far service gate.","Jack travel is rail-bounded and cannot be lost. Releasing too early lowers the deck toward a visible refuge shelf, allowing recovery; it does not randomly kill the waiting people. A wrong solution shows continuing strain.",Introduces a concrete alternative to control: remove the imposed correction. The queue members are later part of the twelve-person cohort.,Jack teeth seat with a distinct dry cadence. The deck’s load tone disappears only when physical contact is verified. Separate breaths recover out of sync.,CK-04-02,"Persist JackPosition, JackRatchet, DeckSupported and assigned survivor slots atomically. Guard encounter afterward starts from this completed solve.",A service shutter opens toward a worker’s inspection post. Ivo has both hands free and sees an exposed harness contact.,The player can explain why the group relaxed. No mandatory solution harms a civilian. A 20-run checkpoint loop retains jack support and unique survivor IDs.,70,77
SQ-04-03,C04,The eyes that do not stop,7,"[""PZ-12""]","Inspection corridor 34 × 7 × 10 m. Worker patrol x=14–21, gate-cart rail x=7–17 with 3° slope, brake x=11, exit shutter x=25. Safe preparation pocket x=4–10.","[""CHR-IVO"", ""CHR-CUST-B"", ""GME-HARNESS"", ""GME-GATE-CART"", ""GME-SHUTTER"", ""ENV-EXCHANGE""]",Cart begins outside its barrier track. Worker contact exposed during inspection. The shutter and worker compete for one personal Hold. A two-handed cart move is impossible while holding the worker.,"A / Show cart rail, slope and exit before the worker closes distance. B / When the harness is arrested, the body freezes but the eyes visibly track Ivo. C / Cart reaches its stop between the worker and Ivo; camera leads to the shutter rather than lingering on a helpless person.","From the safe pocket, push the gate-cart onto the sloped receiving rail and engage its brake. Approach the worker’s exposed contact, arrest his harness during the reach, then use the one-hand brake lever. Gravity rolls the cart to its hard stop and it becomes a barrier. Release the worker, acquire the shutter, cross and release again. The shutter target cannot accidentally replace the held worker. If the cart was not prepared, retreat is possible and the worker returns to inspection after losing sight. A brief early demonstrative restraint may be released without resolving the entire puzzle.","Worker catch requires proximity. Arrested eyes and breath are cosmetic awareness, not extra attack mechanics. Cart barrier collision matches the visible frame. No solution requires Ivo to push heavy equipment with an occupied hand.","This confirms that consciousness continues in every hidden bearer. The tool remains useful after the revelation, creating genuine tension rather than becoming an ability the player should never use.","Harness catches with fabric and metal, not a magical freeze. A shallow conscious breath remains audible. The worker resumes his interrupted reach on release before re-evaluating the obstruction.",CK-04-03,Checkpoint after cart preparation; cart stop and worker state reset consistently. Exit checkpoint records ConsciousRestraintSeen and the worker safely behind the barrier.,"Maintenance stair leads beneath the last tram support, where Orren’s body matches a hanging linkage.",Repeated play cannot skip cart preparation through hand exploits. Test restraint/release at every reach phase. The player identifies awareness without a close-up face cinematic.,77,84
SQ-04-04,C04,Orren stands,5,"[""PZ-13""]","Under-platform support bay 28 × 8 × 10 m. Hanging stair section x=11–18, pawl x=15 y=1.0, Orren alcove x=19 at z=2. Exit ladder x=23.","[""CHR-IVO"", ""CHR-ORREN"", ""GME-STAIR-PAWL"", ""GME-ANCHOR"", ""ENV-EXCHANGE"", ""PRP-ORREN-PROPS""]",Orren’s harness sustains the stair angle. A rusted receiving pawl is obstructed by a light maintenance plate. No immediate pursuit.,"A / Camera shows the stair geometry before Orren’s whole body. B / As Ivo takes the load, Orren’s fingers move independently. C / After support is seated, the frame allows time for the bent shoe to find the floor and the hand to open.","Move the loose plate aside, take the stair’s restraint through its service contact and lower it toward the receiving notch. Hold at alignment, engage the one-hand pawl, then release. The stair rests on metal and Orren’s harness unlocks. He removes himself; Ivo does not drag him like a prop. Climb the now-supported stair and open a simple service hatch. Orren tests his balance, then takes a separate marked resident route toward the hostel. He does not follow Ivo into the cutting.",No timed rescue pressure. A misaligned pawl gives tactile resistance and can be tried again. Orren is protected from the stair’s puzzle collision; unsafe releases remain intercepted by the old harness until support is correct.,A named production identity makes relief tangible. The missing button and bent shoe prepare recognition in the final gate scene.,"A final harness creak, ordinary shoe scuff and a breath that no longer matches the stair. Resist adding celebratory music.",CK-04-04,"OrrenFreed commits only when support and route exit are available. Save Orren’s segment index, not a free-wandering transform. Reload cannot duplicate him in both the bay and hostel.",Ivo descends behind massive transit counterweights. Chalk dust and open light replace concourse order.,Testers remember Orren by appearance without dialogue. His relief never depends on an optional collectible. The supported stair remains stable in later route snapshots.,84,89
SQ-05-01,C05,The weight is visible,6,"[""PZ-14""]","Chalk cutting 90 × 28 × 28 m. Three suspended masses create a visible sweep corridor; refuges at x=20, 42 and 64. Playable platforms remain 2.0 m or wider.","[""CHR-IVO"", ""ENV-CUT"", ""GME-COUNTERWEIGHT"", ""GME-SWEEP-DRIVE"", ""FX-CHALK"", ""PRP-GANTRY""]","A maintenance cycle slowly translates one mass across the route. It has a connected exposed drive and clear safe pockets. Far relocation shoes are background silhouettes, not interactive targets.","A / Wide pale shot before entering hazard range. B / Falling grit marks the moving weight’s sweep while a dark refuge reads against chalk. C / After crossing, a downward reframe exposes the small paired carrier beneath the path.","Walk the approach, climb a short ladder and observe the maintenance cycle. Arrest the sweep drive to cross the first exposed section, release from a stone pocket, and cross the second during its natural return. The change from darkness to exposure supplies variety. One optional overlook shows the hostel’s undercarriage as ordinary maintenance structure without revealing locomotion. Do not stretch the route through repeated identical weights; one authored sweep with two uses is enough.",The full sweep corridor is visible before commitment. Chalk effects never obscure a lethal edge. A falling minor stone is cosmetic unless explicitly tagged and staged as a hazard.,Buildings are suspended over a landscape of stored maintenance decisions. Ivo’s scale against mass matters more than an increased enemy count.,Wind carries distant metal groans; stone sheds grit after the main motion stops. Bright space receives a thinner mix than the enclosed chapters.,CK-05-01,"Checkpoint at each stable refuge; driver phase starts in a readable position. Cosmetic debris is reseeded outside Ivo’s contact path, not replayed as damage.",A small articulated carrier blocks the continuation. Its open paired interface is clearly within reach.,Users can identify safe pockets in grayscale. Maximum camera distance still leaves Ivo readable. No hidden mass collider extends beyond its visual sweep envelope.,89,95
SQ-05-02,C05,Borrowed balance,7,"[""PZ-15""]","Carrier fixture 28 × 12 × 12 m. Articulated carrier 5.5 m long, 2.5 m tall, guided travel 6 m and posture range ±12°. Entry cradle x=7; receiving ledge x=18 at y=2.2.","[""CHR-IVO"", ""ENV-CUT"", ""GME-PAIRED-STATION"", ""RIG-CARRIER"", ""GME-SUPPORT-LOCK"", ""FX-CABLE""]",Carrier parked on visible clamps. Interface has two palm plates and a foot plate. All personal burdens must be relieved before entry. Mechanical lock at far ledge begins open.,"A / Side view puts Ivo’s body and first support shoe in one composition. B / On a directional lean, the shoe moves with his posture. C / Camera follows the carrier enough to keep the receiving notch visible, but does not make it feel like a new free-roaming vehicle.","Enter the cradle with Interact. Move horizontally to request a controlled shift; use down to lower the near end beneath a low brace, then up to meet the receiving ledge. Hold arrests the assembly at alignment. Interact seats the receiving lock; release Hold to verify that the carrier stays supported. Exit through the mechanically released cradle latch. Neutral only settles the current safe phase; Hold is the precise brake. A poor alignment visibly blocks the lock and can be corrected without a fall. This exact control contract returns in the domestic room and Ward.",Teaching fixture is nonlethal. No hidden balancing stamina or stick-wobble minigame. The player cannot exit while the carrier lacks a support and materialize beside it.,The connection has two directions. Ivo is not merely stopping a machine; the machine can follow his balance. The full architectural implication remains concealed.,"Foot plate contact, modest hydraulic response and Ivo’s breath guide the perceived body link. Motor force is audible, avoiding an implication that his muscles power the carrier.",CK-05-02,"Save parked or locked support states. Mid-station suspend stores q, posture, phase, owner and Ivo’s station binding. Pausing cannot issue an exit or release.",The carrier reaches a maintenance ledge overlooking a blocked counterweight and its receiving cradle.,Four of five fresh testers operate and exit within 90 seconds after first entry. Later Ward test uses the same inputs with no new control explanation. No input inversion during camera tracking.,95,102
SQ-05-03,C05,Make a fall useful,8,"[""PZ-16""]",Counterweight bay 42 × 24 × 16 m. Hanging block x=18 at y=10; receiving cradle on rail x=9–18 at y=3; linked walkway x=25–34. Service arrest plate x=14.,"[""CHR-IVO"", ""ENV-CUT"", ""GME-COUNTERWEIGHT"", ""GME-RECEIVING-CRADLE"", ""GME-LIFT-WALKWAY"", ""GME-ANCHOR"", ""FX-IMPACT""]","Block is restrained above the route. Cradle starts laterally displaced. Walkway is too low. A visible cable links cradle displacement to walkway lift. Fall is bounded to a 2.2 m working stroke, not a catastrophic ten-meter free drop.","A / Show weight, displaced cradle and inaccessible walkway in one vertical composition. B / Low camera tracks the cradle being moved under the drop marker. C / On release, camera remains wide enough to register impact, lifted walkway and a distant worker steadying himself.","Take the existing block restraint at its service plate and transfer to a local maintenance anchor, freeing the crane-side interlock. Move the receiving cradle along its rail until its guide marks align beneath the block. Engage its side pawl. Release the anchor; the block falls through its bounded working stroke into the cradle and the counterbalanced walkway rises. Arrest the walkway if needed at its crossing notch, seat its one-hand stop and traverse. The irreversible block drop can occur only after the receiving pawl is genuinely engaged; a wrong release is intercepted by the old safety catch and shows the missing support.",Do not use uncontrolled rigidbody bounce for the puzzle-bearing mass. An authored impact event switches to the seated state after a short compression travel. Cosmetic chips may scatter but cannot knock the player off the safe platform.,Ivo deliberately lets something move and makes the outcome useful. This is the intellectual bridge between temporary Hold and the final controlled discharge.,"Impact onset, structure response and long settling tail are separate. A worker’s hand contacting a distant rail is nearly lost inside the larger sound; close repeat play reveals it.",CK-05-03,"After the block seats, save CradleAligned, CradleLocked, BlockSeated and WalkwayRaised as one completion. Later deaths cannot demand dropping the block again.",The raised walkway enters the Porter rail system. A salvage bundle hangs above the next exposed grate.,The result is repeatable within 2 cm at all render rates. A player can predict which platform will rise before committing. No solution depends on a fortunate bounce.,102,110
SQ-05-04,C05,Beneath the rescue rail,6,"[""PZ-17""]",Rail pursuit 68 × 18 × 16 m. Salvage bundle x=20; connected grates x=12–31; refuge x=34; moving exit platform x=45–52; slide entry x=58.,"[""CHR-IVO"", ""CHR-PORTER"", ""RIG-PORTER"", ""GME-SALVAGE-RELEASE"", ""GME-EXIT-PLATFORM"", ""ENV-CUT"", ""FX-CHALK""]",The Porter enters along the rail last seen continuing from gardens. It uses the same detection/reach rules. Salvage bundle is above its reachable capture corridor. Exit platform shares the drive phase for the last segment.,"A / Familiar ratchet arrives before the apparatus enters the foreground. B / Both bundle and grate show their connection; safe stone lies beyond. C / Camera leads to the exit platform before the final release and jump, then follows Ivo down a controlled slide.","Release the salvage bundle from the side lever; the Porter commits to securing it. Cross the first grate during the retrieval and arrest the drive from the stone refuge. The exit platform is now stopped short of its destination because it shares that drive. Release, allow it to advance and jump onto it within a broad 2.5-second usable interval. Ride to the slide, then let ordinary movement carry Ivo into the lower route. Holding forever buys thought time but does not produce the missing alignment. This is a recombination of known rules, not a new immunity or speed boost.","No unseen catch during the jump. Failure restores the refuge and bundle retrieval stage, preserving the completed counterweight puzzle. Slide direction is controllable within a safe lane; cinematic dust cannot cover the next landing.",The apparatus repeats its rescue procedure; Ivo now redirects that procedure rather than treating it as a monster with a health bar. Releasing becomes active problem-solving.,"Rail rhythm, bundle fabric, motor restart and gritty slide. Underwater muffling starts only when the head actually submerges at the end, not before contact.",CK-05-04,Checkpoint at refuge before final drive release. Store Porter route phase and exit-platform shared driver together. Successful slide arrival commits CuttingComplete.,The slide ends on a shallow shelf overlooking the drowned original street. Ivo can recover and inspect water without a continuing chase.,A correct full-speed run has generous clearance. Controller and keyboard timing both pass. The shared drive state cannot desynchronize on restart or a long pause.,110,116
SQ-06-01,C06,The street below the street,6,"[""PZ-18""]",Submerged street approach 58 × 13 × 22 m. Wading shelf x=0–15 at water depth 0.3–0.9 m; first swim gap 8 m; safe landing x=24; shallow dive tunnel length 9 m with visible air on both sides.,"[""CHR-IVO"", ""ENV-DROWNED"", ""GME-WATER-VOLUME"", ""PRP-FLOAT-CHAIR"", ""FAUNA-FISH"", ""FX-SILT""]",No pursuing enemy. Water volume is active; head sample and buoyancy presentation agree. A guided floating chair bumps a restraint cable but is not a required platform.,"A / Camera opens onto recognizably ordinary submerged shopfronts, keeping the surface line visible. B / Ivo’s transition from feet-on-ground to swimming is shown in profile. C / A view through an opening reveals the hostel curtain above the later construction.","Wade from the slide shelf, swim the short surface gap and climb to the dry landing. Use downward intent to pass the low submerged lintel, then surface into a clearly visible pocket. The leg takes under 7 seconds on a clean run and provides ample reserve. A nearby rung lets the player reverse and repeat the transition safely. Ordinary movement, water sound and head position teach the new state without a modal tutorial. The floating chair and fish move independently of the brace.",First breath warning can be experienced safely beside a surface escape. No ambush during the swimming lesson. Surface collisions and camera bounds must not trap the player under a decorative ceiling.,"The town built over its unfinished disaster. Water is a physical medium with its own behavior, not an excuse for a new magic ability.",Waterline crossing blends filters and head-local bubbles. Wet clothes persist on the dry landing. Underwater sounds have less high-frequency detail but never eliminate an essential direction cue.,CK-06-01,"Checkpoints only on the dry landing and full-air pocket during onboarding. Record breath, wetness and water-region ID; restoring a safe checkpoint resets reserve to full.",A maintenance bell hangs ahead from a guide and an intact air hose. The view shows its open underside and pale pocket before the player commits.,"Test 100 waterline crossings with no state chatter, surface jitter or infinite breath from boundary flicker. Novices identify both air exits before diving.",116,122
SQ-06-02,C06,A room for one breath,8,"[""PZ-19""]","Bell chamber 36 × 16 × 20 m. Bell 2.4 m diameter, 3.2 m high on a vertical guide with 3.6 m stroke. Lower entry y=-3; upper passage y=0.5. Bell pocket begins 1.1 m above the open rim; hose visibly feeds it.","[""CHR-IVO"", ""ENV-DROWNED"", ""GME-AIR-BELL"", ""GME-BELL-WINCH"", ""GME-AIR-POCKET"", ""GME-WATER-VOLUME"", ""FX-BUBBLES""]","Bell moored below a blocked passage. It is buoyant but winch-constrained. Lower release contact is reachable from a safe ledge and the interior lever can be operated one-handed. Pocket volume is attached to the bell, with bounded local water height.","A / Show guide, bell rim and upper destination together before the dive. B / Camera follows head entry into the pocket; sound returns to close breath with water visible around the boundary. C / On rise, the upper passage enters the same frame, making the bell a moving shelter rather than a vehicle cutaway.","Release the lower mooring and Hold the guide brake while swimming beneath the rim. Enter the air pocket and recover. Operate the interior lever to disengage the lower guide stop; release Hold so buoyancy lifts the bell. Arrest near the upper access notch, engage its physical docking catch and swim the short upper connection to the next landing. Each open-water leg remains under 10 seconds. A wrong height can be corrected while sheltered. The guided bell cannot rotate freely, depart its hose range or become an uncontrolled boat.",The pocket requires head-inside validation; touching the bell exterior gives no air. Ivo’s one-arm swim variant is used while sustaining Hold. No timed mechanism continues to drain the safe pocket during observation.,"Ivo does not acquire immunity to drowning. He learns to move a place where he can breathe, foreshadowing moving a place where others can live.","Close air-pocket breath, hose pulse, hollow bell resonance and external water pressure. Rising changes resonance subtly. The musical bed stays sparse so the small refuge feels precious.",CK-06-02,"Mid-puzzle suspend stores bell q, mooring, dock catch, pocket local plane, hose state and breath. Resume inside the pocket requires its chunk resident before Ivo activates. Dock checkpoint is a safe full-air state.","Beyond the upper landing, the Porter rail descends into the old flooded retrieval dock. Its silhouette and breathing hose are visible before engagement.","A head can never be both drowning and receiving air in one authoritative tick. Pausing on a rising bell freezes guide, pocket and breath together. All safe catches can be undone from inside.",122,130
SQ-06-03,C06,A rescue that would drown him,7,"[""PZ-20""]",Flooded retrieval dock 40 × 15 × 18 m. Porter rail descends toward a submerged unloading cradle at y=-5. A hinged empty retrieval basket demonstrates tipping there. Bell guide has a 2.6 m upward escape stroke.,"[""CHR-IVO"", ""CHR-PORTER"", ""RIG-PORTER"", ""GME-AIR-BELL"", ""GME-BELL-WINCH"", ""GME-DOCK-CRADLE"", ""ENV-DROWNED""]","Porter uses the same detect/reach/secure/retract states. Its submerged dock mechanically tips retrieved containers for unloading; tipping the air bell would spill its pocket. The danger is the visible dock geometry, not simply being underwater.","A / A discarded empty basket is drawn into the dock and tipped, showing the procedure before Ivo is targeted. B / The Porter approaches the bell through silt while its hose traces back to the rail. C / Camera shows the upward escape notch and a short exposed swim toward a fixed air landing.","From the safe bell pocket, release the guide brake rather than freezing the apparatus. Buoyancy carries the bell above the Porter’s capture sweep. Arrest at the upper notch and engage a one-hand safety catch. Leave the shelter through an open-water leg under 13 seconds, swim behind a structural rib and pull the fixed retrieval-gate latch from the air landing. The Porter completes its reach against the now-blocking gate. Holding the bell low indefinitely is safe only while out of capture range; the telegraphed approach prompts movement. The player never needs to Hold the Porter and the bell simultaneously.","Capture has a recoverable reach warning and one interrupted-grab opportunity before failure. If the bell is retrieved, show loss of shelter briefly and reset; do not require watching a long drowning scene. Checkpoint at the fully supplied pocket, with Porter out of reach.","The procedure still functions, but its definition of a safe destination has become lethal. The rig is not a new aquatic supernatural species.","Muffled rail vibration through the bell, worker breathing through a hose, basket tip and escaping bubbles. Do not use a sudden creature scream to announce a familiar apparatus.",CK-06-03,"Porter route branch, retrieval target, bell guide state and gate state are one encounter snapshot. On success the dock is isolated and the Porter cannot follow into dry rooms.","A drain control in the fixed air landing lowers the adjacent service room, revealing a route behind domestic walls.",Players recognize why the dock is unsafe before capture. The escape works with sound muted and breath assistance. No AI shortcut crosses a structural rib.,130,137
SQ-06-04,C06,Water leaves a record,6,"[""PZ-21""]",Drain chamber 32 × 8 × 12 m. Water level falls from y=2.3 to y=0.2. Valve x=6 on dry shelf; pump latch x=14 under an initial 1.4 m dive; exit stair x=25.,"[""CHR-IVO"", ""ENV-DROWNED"", ""GME-DRAIN-PUMP"", ""GME-WATER-VOLUME"", ""PRP-OLD-HARNESS"", ""FX-WATER-MARK""]",Main drain valve alone opens a bypass but the pump governor is latched off. A short dive exposes a linked service contact. Safe return shelf remains close.,"A / Frame waterline against repainting bands and a closed service stair. B / As water falls, former hand heights and harness outlines appear, with no camera cut to a note. C / The last drips reveal a dry passage into the same structures whose machines Ivo has used.","Open the bypass from the air shelf. Dive to the nearby governor contact, arrest its closing lever long enough to move the one-hand pump latch, then return to air. The pump lowers the adjacent bounded volume and exposes the stair. No two-hand underwater crank is required. A player who releases early simply lets the governor return and can retry. Once the pump’s mechanical run latch engages, no person must sustain it. Optional inspection of discarded covers adds history without blocking the route.",Keep the short dive within 8 seconds and show the contact from the shelf. Drain flow cannot pull Ivo into an invisible current death. The pump cannot empty a region that the active bell checkpoint still depends on.,Emergency hardware was repainted and reused rather than replaced. The scale of repeated confinement becomes visible in ordinary maintenance marks.,Water recedes from full room resonance to individual drips. Old harness straps move as the level drops. The root’s low tension rhythm enters gradually.,CK-06-04,"Persist PumpLatched, RoomDrained and safe stair availability together. Reload on the stair uses the drained volume; no visual water plane can disagree with swim logic.",A body-width passage behind apartment walls opens toward the reverse side of the bearer system.,"The player sees a continuous material history, not collectible exposition. A save made during the drain restores the correct transition phase or its safe completed state without trapping Ivo.",137,143
SQ-07-01,C07,You have heard this before,6,[],"Bearer service spine 60 × 7 × 12 m. Three inspection apertures at x=14, 29 and 44 correspond to laundry drum, waiting deck and a smaller service burden. Playable lane remains unobstructed.","[""CHR-IVO"", ""ENV-BURDEN"", ""CHR-BEARER-01"", ""CHR-BEARER-02"", ""CHR-BEARER-03"", ""GME-BODY-LINK"", ""FX-CONTACT""]",Visible linkages repeat recognizable movement signatures from earlier puzzles. Formerly unloaded laundry attendants are still behind locked maintenance access; their load is gone but confinement remains.,"A / Begin with a familiar rhythm before its source is visible. B / At the first aperture the matching limb posture is revealed, while Ivo stays in profile. C / A farther window frames Ivo’s own strained hand beside a bearer’s hand without creating a mirror-image supernatural double.","Move through the service spine, open two ordinary inspection latches and climb a short maintenance step. Each aperture reveals the back of an encountered machine family. A one-hand test handle produces a small reversible movement in a safe demonstration linkage, making the relationship inspectable. No new puzzle currency or lore document is required. A locked communal service exit is visible beyond the attendants; Ivo will open it after relieving the overhead domestic support later in this chapter.",No surprise chase in this recognition sequence. Aperture grates stop Ivo entering bearer collision volumes. Noncritical ambient motion never turns into an unannounced instant kill.,The town has used people as continuous corrections. Earlier relief removed loads but did not automatically open every cell; this prevents a false claim that all affected people were already free.,"Reuse exact rhythmic signatures, not necessarily the same literal audio clip. Machine motion is now accompanied by joint fabric and breath. Let recognition occur before adding new sound.",CK-07-01,Recognition flags are set at view-confirmed thresholds. Existing solved-puzzle facts drive the displayed load states. Sequence cannot show a bearer straining under a process already mechanically relieved.,The next room contains a paired balance interface connected to recognizable domestic architecture.,Fresh players connect at least one shown person to an earlier mechanism. Completed loads remain visibly relieved. Narrative cannot contradict the player’s saved interventions.,143,149
