id,category,scope,owner,first_use,sequences,milestone,acceptance,status,estimate_person_days
GME-DRYING-FRAME,GME,Sliding/rotating fabric rack; grip sockets; travel stops; interaction/camera clearance envelope,Gameplay + technical art,SQ-03-02,"[""SQ-03-02""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-WET-RACK,GME,Blanket rack with dry/wet mass state; drainage geometry; bounded weight coordinate; attached cables,Gameplay + technical art,SQ-03-03,"[""SQ-03-03""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-RINSE,GME,Redirectable rinse outlet; lever; readable stream; saturated-cloth driver link,Gameplay + technical art,SQ-03-03,"[""SQ-03-03""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-LIFT,GME,Counterweighted service lift; guide; car floor; gate; support socket; constrained vertical driver,Gameplay + technical art,SQ-03-03,"[""SQ-03-03""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-TILT-DECK,GME,Exchange deck; pivot; queue linkage; support point; controlled tilt; occupancy-safe limits,Gameplay + technical art,SQ-04-02,"[""SQ-04-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-JACK,GME,Mechanical service jack; crank requiring free hands; clear supported-state pawl; load plate,Gameplay + technical art,SQ-04-02,"[""SQ-04-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-GATE-CART,GME,Track-guided barrier cart; two-hand grip; one-hand brake; fixed end stop; obstruction collision,Gameplay + technical art,SQ-04-03,"[""SQ-04-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-HARNESS,GME,Exposed restraint brace; locked skeletal channels; torso control plus independent eyes/breath; shielded variant,Gameplay + technical art,SQ-04-03,"[""SQ-04-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-STAIR-PAWL,GME,Stair support ratchet; lever; visible engaged teeth; released-body linkage,Gameplay + technical art,SQ-04-04,"[""SQ-04-04""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-SWEEP-DRIVE,GME,Bounded counterweight sweep; safe floor pockets; contact and timed motor phases,Gameplay + technical art,SQ-05-01,"[""SQ-05-01""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-PAIRED-STATION,GME,Two-hand/foot interface; accessible approach; control pose; visible support and exit lock; safe cancellation,Gameplay + technical art,SQ-05-02,"[""SQ-05-02"", ""SQ-07-02"", ""SQ-08-04"", ""SQ-09-01""]",M09,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-COUNTERWEIGHT,GME,Suspended masonry mass; suspension frame; authoritative drop coordinate; no cosmetic destruction dependency,Gameplay + technical art,SQ-05-01,"[""SQ-05-01"", ""SQ-05-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-RECEIVING-CRADLE,GME,Guided catch cradle; support stops; accepts released mass; linked lift cable; no bounce softlock,Gameplay + technical art,SQ-05-03,"[""SQ-05-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-LIFT-WALKWAY,GME,Walkable raised segment; cable linkage; receiving stop; bounded vertical movement,Gameplay + technical art,SQ-05-03,"[""SQ-05-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-SALVAGE-RELEASE,GME,One-hand release lever; suspended bundle; visible Porter capture path; persistent diverted state,Gameplay + technical art,SQ-05-04,"[""SQ-05-04""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-EXIT-PLATFORM,GME,Rail-driven escape platform linked to Porter motor; fixed alignment window; ride-safe collision,Gameplay + technical art,SQ-05-04,"[""SQ-05-04""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-WATER-VOLUME,GME,Bounded water regions; head-surface tests; port links; swimming/wetness/audio region definitions,Gameplay + technical art,SQ-06-01,"[""SQ-06-01"", ""SQ-06-02"", ""SQ-06-04"", ""SQ-08-02""]",M08,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-AIR-BELL,GME,Guided open-bottom bell; pocket shell; viewing gap; internal latch; hose socket; roof guide,Gameplay + technical art,SQ-06-02,"[""SQ-06-02"", ""SQ-06-03""]",M08,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-AIR-POCKET,GME,Moving retained-air volume; water-level/pose dependency; head-space preview; dock spill state,Gameplay + technical art,SQ-06-02,"[""SQ-06-02""]",M08,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-BELL-WINCH,GME,Guided winch; lower/upper catches; contact; resumable phase; hose accommodation,Gameplay + technical art,SQ-06-02,"[""SQ-06-02"", ""SQ-06-03""]",M08,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-DOCK-CRADLE,GME,Obsolete retrieve-and-tip dock; clear rotation hazard; tipped bell spill relationship; limit stops,Gameplay + technical art,SQ-06-03,"[""SQ-06-03""]",M08,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-DRAIN-PUMP,GME,Chamber drain valve/pump; bounded water-level change; exposed wall record; safe outlet,Gameplay + technical art,SQ-06-04,"[""SQ-06-04""]",M08,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-BODY-LINK,GME,Visible restraint linkage between mechanism and bearer; torso correction channel; tension-only presentation cable,Gameplay + technical art,SQ-07-01,"[""SQ-07-01""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-RECEIVING-FRAME,GME,Domestic support frame; movable in guided slot; clear lock; supports room without bearer,Gameplay + technical art,SQ-07-04,"[""SQ-07-04""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-BASIN-GATES,GME,Retained-water gates; supported/personal/root relationships; controlled opening phase; contact and seals,Gameplay + technical art,SQ-08-01,"[""SQ-08-01"", ""SQ-09-07""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-ROOT-SERVICE,GME,Root handover mounting; Anja socket; portable governor contact; protected release input affordance,Gameplay + technical art,SQ-07-03,"[""SQ-07-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-TEST-VALVE,GME,Limited proof-flow control; pressure gauge as readable movement; resettable test state; no irreversible early flood,Gameplay + technical art,SQ-08-02,"[""SQ-08-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-DEFLECTOR,GME,Guided discharge deflector; receiving stops; latched safe angle; visible unsafe/tested outlet paths,Gameplay + technical art,SQ-08-02,"[""SQ-08-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-DEBRIS-RACK,GME,Authored removable flow blockage; clear controls; guided debris state; pooled cosmetic fragments,Gameplay + technical art,SQ-08-02,"[""SQ-08-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-RECEIVING-PAD,GME,Inland foundation pad family; support ID; height/readability marks; activated/deployed state,Gameplay + technical art,SQ-08-03,"[""SQ-08-03"", ""SQ-09-03"", ""SQ-09-05""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-RELOCATION-PIN,GME,Obsolete hostel restraint; release handle; visible released/installed state; sequenced dependency,Gameplay + technical art,SQ-08-03,"[""SQ-08-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-GIRDER,GME,Low overhead obstruction; clearance envelope; visual underside scrape cues; no break-through solution,Gameplay + technical art,SQ-09-04,"[""SQ-09-04""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-PORCH,GME,Ward entrance ramp; kneel-to-ground relationship; cohort exit portal; collision lock at support,Gameplay + technical art,SQ-09-05,"[""SQ-09-05""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-SUPPORT-LOCK,GME,Ward mechanical lock; load-transfer indicator; prevents station exit before safe support,Gameplay + technical art,SQ-05-02,"[""SQ-05-02"", ""SQ-07-02"", ""SQ-07-04"", ""SQ-08-03"", ""SQ-08-04"", ""SQ-09-03"", ""SQ-09-04""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-ROOT-GOVERNOR,GME,Unloaded final sequencing governor; single contact; guarded handover/release state; root gate dependency,Gameplay + technical art,SQ-09-06,"[""SQ-09-06""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-ESCAPE-STAIR,GME,Settling stair route; short authored collapses; stable retry ledges; post-release state variants,Gameplay + technical art,SQ-09-07,"[""SQ-09-07""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-ORDINARY-GATE,GME,Dead-terminal exit gate; manual hinge; Orren grip sockets; voluntary hold and release,Gameplay + technical art,SQ-09-08,"[""SQ-09-08""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
RIG-TRANSPORT,RIG,Anja transport carriage; harness; rail wheels; transfer connection; two Custodian handling sockets,Technical art + animation,SQ-01-02,"[""SQ-01-02""]",M10,All authored poses and support contacts pass with no player/cohort penetration; pause/load and reduced-motion presentation remain valid.,Backlog,
RIG-PORTER,RIG,Overhead rescue rail carriage; arms made of machinery; catch cradle; hose; rail reach and capture envelopes,Technical art + animation,SQ-02-03,"[""SQ-02-03"", ""SQ-05-04"", ""SQ-06-03""]",M06,All authored poses and support contacts pass with no player/cohort penetration; pause/load and reduced-motion presentation remain valid.,Backlog,
RIG-CARRIER,RIG,Small quarry balance carrier; articulated shoes; paired station mount; parking lock; tilt/route controls,Technical art + animation,SQ-05-02,"[""SQ-05-02""]",M09,All authored poses and support contacts pass with no player/cohort penetration; pause/load and reduced-motion presentation remain valid.,Backlog,
RIG-DOMESTIC-ROOM,RIG,Movable room assembly; constrained wall/floor; paired interface; receiving-frame contact; local props,Technical art + animation,SQ-07-02,"[""SQ-07-02"", ""SQ-07-04""]",M14,All authored poses and support contacts pass with no player/cohort penetration; pause/load and reduced-motion presentation remain valid.,Backlog,
RIG-ROOT,RIG,Integrated root installation; mechanical collar; distributed contacts; Anja proxies; force-state presentation,Technical art + animation,SQ-07-03,"[""SQ-07-03"", ""SQ-09-06""]",M14,All authored poses and support contacts pass with no player/cohort penetration; pause/load and reduced-motion presentation remain valid.,Backlog,
RIG-WARD,RIG,Hostel shell; four hydraulic relocation shoes; guided gait; two chimneys; service cradle; rooms; crouch; porch; support locks,Technical art + animation,SQ-08-03,"[""SQ-08-03"", ""SQ-08-04"", ""SQ-09-01"", ""SQ-09-02"", ""SQ-09-03"", ""SQ-09-04"", ""SQ-09-05""]",M09,All authored poses and support contacts pass with no player/cohort penetration; pause/load and reduced-motion presentation remain valid.,Backlog,
PRP-CHAIR,PRP,Lightweight kitchen chair; grip; safe slide; cover access; shared noncritical chair variations,Environment/prop art,SQ-01-01,"[""SQ-01-01""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
