id,bus,scope,initial_variants,driver,first_use,priority_note,caption_required,status
SFX-PORTER,Threat,"Detect, rail move, reach, secure, retract, tip",14,Rail AI phase,C02,Predictable threat timing,True,Backlog
SFX-CUST-STEPS,Threat,Floor and stair pursuit footsteps,12,AI feet and surface,C01,Real spatial approach,True,Backlog
SFX-TORCH,Threat,Torch handling and sheet search movement,6,Search phase,C03,No false critical cue,True,Backlog
SFX-BELL,Water,"Winch, hull, internal latch and guide catch",8,Bell q and pocket,C06,Shelter presence,True,Backlog
SFX-AIR,Water,"Hose flow, bubble loss and pocket spill",8,Retained-air state,C06,Visible equivalent mandatory,True,Backlog
SFX-DRAIN,Water,"Drain startup, level fall and final trickle",6,Water graph,C06,Reveal through drainage,True,Backlog
SFX-ROOT,Narrative,"Distributed strain, breath-linked structure, relaxation",10,Root phase,C07,Mechanical rhythm becomes human,False,Backlog
SFX-WARD,Finale,"Support shoes, hydraulic strain, room creaks, settling",16,Gait/support/posture,C09,Scale without monster roar,True,Backlog
SFX-DOMESTIC,Finale,Cup/spoon/cupboard/bed/cloth small events,12,Interior acceleration and hero events,"C01,C09",Small sound makes scale intimate,True,Backlog
SFX-DISCHARGE,Finale,"Governor, gates, flow, channel impacts",12,Release ledger and phase,"C08,C09",Test/release correspondence,True,Backlog
SFX-GATE,Ending,Ordinary manual gate and voluntary release,4,Orren hand contact,C09,End without machine ownership,False,Backlog
AMB-TERRACE,Ambience,"Interior room, rain outside, distant evacuation",4,Acoustic region,C01,Domestic close space,False,Backlog
AMB-GARDENS,Ambience,"Wind, reeds, runoff and distant town",5,Region and weather,C02,First open breath,False,Backlog
AMB-LAUNDRY,Ambience,"Ventilation, distant rollers and sheet movement",5,Room/shaft,C03,Quiet holds remain audible,False,Backlog
AMB-EXCHANGE,Ambience,Public upper hall and restrained lower bays,4,Depth region,C04,Social division through acoustics,False,Backlog
AMB-CUT,Ambience,"Wind across pale void, grit and cables",4,Exposure/height,C05,Brightness and scale,False,Backlog
AMB-DROWNED,Ambience,"Transmitted creaks, water pressure, pocket interior",5,Water/head region,C06,No blanket underwater silence,False,Backlog
AMB-BURDEN,Ambience,Small mechanical breath rhythms in wall cavities,4,Load relationships,C07,Recognition before reveal,False,Backlog
AMB-SEAWALL,Ambience,Retained basin versus ordinary calm sea,5,Side of wall,C08,Original emergency reinterpreted,False,Backlog
AMB-INLAND,Ambience,"Unsynchronized footsteps, dry wind, settling distance",4,Ending phase,C09,Imperfect relief,False,Backlog
FAU-BIRD,Ambient life,"Wader call, feet and wing departure",5,Fauna state,C02,Not bound to Hold,False,Backlog
MUS-PRESSURE,Music,Low tension and irregular tonal strain stems,4,Dramatic state,C01–C05,Avoid perpetual music,False,Backlog
MUS-RECOGNITION,Music,Fragile sparse motif around familiar gestures,3,Recognition events,"C03,C07",Never explains by melodrama,False,Backlog
MUS-DEPTH,Music,Submerged texture with clear breath space,3,C06 tension,C06,Do not mask warnings,False,Backlog
MUS-CARRY,Music,Ward effort tonal layer and subtraction on support,4,Support and strain,C09,No heroic victory theme,False,Backlog
MUS-RELEASE,Music,Very sparse release and ending tail,3,Final ledger,C09,Grief plus relief,False,Backlog
UI-SELECT,UI,"Focus, accept, cancel, error and save failure",6,UI event,Shared,"Soft, clear, remappable mix",False,Backlog
