id,actor,name,category,source_requirement,loop,acceptance,status
ANM-015,CHR-IVO,IVO_jump_air_up,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-016,CHR-IVO,IVO_jump_air_down,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-017,CHR-IVO,IVO_land_soft,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-018,CHR-IVO,IVO_land_hard,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-019,CHR-IVO,IVO_stumble_recover,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-020,CHR-IVO,IVO_step_up,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-021,CHR-IVO,IVO_slope_up,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-022,CHR-IVO,IVO_slope_down,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-023,CHR-IVO,IVO_slip_catch,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-024,CHR-IVO,IVO_balance_edge,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-025,CHR-IVO,IVO_reach_low,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-026,CHR-IVO,IVO_reach_mid,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-027,CHR-IVO,IVO_reach_high,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-028,CHR-IVO,IVO_push_enter,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-029,CHR-IVO,IVO_push_loop,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-030,CHR-IVO,IVO_push_stop,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-031,CHR-IVO,IVO_pull_loop,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-032,CHR-IVO,IVO_lift_denied,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-033,CHR-IVO,IVO_grip_denied,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-034,CHR-IVO,IVO_ladder_mount,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-035,CHR-IVO,IVO_ladder_up,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-036,CHR-IVO,IVO_ladder_down,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-037,CHR-IVO,IVO_ladder_exit,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-038,CHR-IVO,IVO_ledge_catch,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-039,CHR-IVO,IVO_ledge_hang,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-040,CHR-IVO,IVO_ledge_climb,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-041,CHR-IVO,IVO_ledge_drop,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-042,CHR-IVO,IVO_crawl_enter,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-043,CHR-IVO,IVO_crawl_loop,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-044,CHR-IVO,IVO_crawl_exit,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-045,CHR-IVO,IVO_one_hand_latch,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-046,CHR-IVO,IVO_wheel_crank,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-047,CHR-IVO,IVO_cover_remove,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-048,CHR-IVO,IVO_chair_slide,Hands and traversal,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-049,CHR-IVO,IVO_brace_pickup,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-050,CHR-IVO,IVO_hold_acquire,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-051,CHR-IVO,IVO_hold_idle,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-052,CHR-IVO,IVO_hold_walk,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-053,CHR-IVO,IVO_hold_run,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-054,CHR-IVO,IVO_hold_jump,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-055,CHR-IVO,IVO_hold_crouch,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-056,CHR-IVO,IVO_hold_release,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-057,CHR-IVO,IVO_hold_range_warning,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-058,CHR-IVO,IVO_transfer_in,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-059,CHR-IVO,IVO_transfer_out,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-060,CHR-IVO,IVO_load_after_motion,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-061,CHR-IVO,IVO_strain_shoulders_01,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-062,CHR-IVO,IVO_strain_shoulders_02,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-063,CHR-IVO,IVO_strain_fingers_01,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-064,CHR-IVO,IVO_strain_fingers_02,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-065,CHR-IVO,IVO_paired_enter,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-066,CHR-IVO,IVO_paired_balance_left,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-067,CHR-IVO,IVO_paired_balance_right,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-068,CHR-IVO,IVO_paired_lower,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-069,CHR-IVO,IVO_paired_raise,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-070,CHR-IVO,IVO_paired_brace,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-071,CHR-IVO,IVO_paired_exit,Hold and load,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-072,CHR-IVO,IVO_wade_loop,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-073,CHR-IVO,IVO_water_enter,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-074,CHR-IVO,IVO_surface_idle,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-075,CHR-IVO,IVO_surface_swim,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-076,CHR-IVO,IVO_dive_start,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-077,CHR-IVO,IVO_swim_forward,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-078,CHR-IVO,IVO_swim_up,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-079,CHR-IVO,IVO_swim_down,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-080,CHR-IVO,IVO_swim_turn,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-081,CHR-IVO,IVO_swim_hold_onearm,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-082,CHR-IVO,IVO_surface_recover,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-083,CHR-IVO,IVO_breath_warning_01,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-084,CHR-IVO,IVO_breath_warning_02,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-085,CHR-IVO,IVO_climb_from_water,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-086,CHR-IVO,IVO_wet_shiver,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-087,CHR-IVO,IVO_bell_enter,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-088,CHR-IVO,IVO_bell_air_recover,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-089,CHR-IVO,IVO_bell_latch,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-090,CHR-IVO,IVO_bell_exit,Water,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-091,CHR-IVO,IVO_mother_two_taps_receive,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-092,CHR-IVO,IVO_mother_two_taps_reply,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-093,CHR-IVO,IVO_stare_fingernail,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-094,CHR-IVO,IVO_restrained_eye_reaction,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-095,CHR-IVO,IVO_cuff_recognition,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-096,CHR-IVO,IVO_pull_mother_failed,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-097,CHR-IVO,IVO_refusal_recoil,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-098,CHR-IVO,IVO_cradle_look,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-099,CHR-IVO,IVO_root_handover,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-100,CHR-IVO,IVO_goodbye_hand,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-101,CHR-IVO,IVO_open_final_hand,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-102,CHR-IVO,IVO_accept_survivor_hand,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-103,CHR-IVO,IVO_gate_pass,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-104,CHR-IVO,IVO_fall_failure,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-105,CHR-IVO,IVO_crush_failure,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-106,CHR-IVO,IVO_capture_failure,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-107,CHR-IVO,IVO_drown_failure,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-108,CHR-IVO,IVO_shield_face,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-109,CHR-IVO,IVO_flinch_small,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-110,CHR-IVO,IVO_look_attention,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-111,CHR-IVO,IVO_breathing_rest,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-112,CHR-IVO,IVO_breathing_effort,Narrative and reactions,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-113,CHR-ANJA,ANJA_repair_idle,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-114,CHR-ANJA,ANJA_cover_request,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-115,CHR-ANJA,ANJA_guide_walk,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-116,CHR-ANJA,ANJA_landing_catch,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-117,CHR-ANJA,ANJA_hold_landing,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-118,CHR-ANJA,ANJA_transport_secure,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-119,CHR-ANJA,ANJA_look_back,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-120,CHR-ANJA,ANJA_two_taps,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-121,CHR-ANJA,ANJA_root_breath,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-122,CHR-ANJA,ANJA_root_hand_recognition,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-123,CHR-ANJA,ANJA_refuse_replacement,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-124,CHR-ANJA,ANJA_final_handover,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-125,CHR-ANJA,ANJA_final_release,Mother,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-126,CHR-CUST-A,CUST_idle_watch,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-127,CHR-CUST-A,CUST_walk_patrol,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-128,CHR-CUST-A,CUST_turn,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-129,CHR-CUST-A,CUST_listen,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-130,CHR-CUST-A,CUST_inspect_sheet,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-131,CHR-CUST-A,CUST_detect,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-132,CHR-CUST-A,CUST_approach,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-133,CHR-CUST-A,CUST_run_pursuit,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-134,CHR-CUST-A,CUST_reach_capture,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-135,CHR-CUST-A,CUST_capture_secure,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-136,CHR-CUST-A,CUST_blocked_door_catch,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-137,CHR-CUST-A,CUST_blocked_cart_react,Custodian shared,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
